T, A, B, Oc, C, Oj tj, Dp, Dn, E, t1, dx1, dy1, s1, t2, dx2, dy2, s2, t3, dx3, dy3, s3, savg
489, -0.48, -0.281, -0.174, 0.887, 0.612, 0.121, 0.602, 0.348, 0.176, 30, 8.3, -1.4, 2.8e+02, 28, 7.3, -2.8, 2.5e+02, 30, 8.4, -0.16, 2.8e+02, 2.7e+02
491, -0.48, -0.281, -0.174, 0.887, 0.612, 0.123, 0.477, 0.321, 0.164, 30, 8.3, -1.4, 2.8e+02, 30, 8.4, -1, 2.8e+02, 30, 8.4, -0.86, 2.8e+02, 2.8e+02
491, -0.488, -0.284, -0.177, 0.885, 0.617, 0.119, 0.412, 0.356, 0.162, 30, 8.4, -0.22, 2.8e+02, 30, 8.5, -0.8, 2.9e+02, 30, 8.5, -1.1, 2.9e+02, 2.9e+02
484, -0.484, -0.282, -0.175, 0.886, 0.615, 0.119, 0.432, 0.356, 0.161, 30, 8.4, 0.21, 2.8e+02, 30, 8, -2.5, 2.7e+02, 30, 8.1, -1.5, 2.8e+02, 2.8e+02
489, -0.475, -0.282, -0.176, 0.887, 0.607, 0.122, 0.525, 0.333, 0.158, 26, 6.8, -2.8, 2.4e+02, 25, 6.5, -2.8, 2.3e+02, 24, 5.9, -2.8, 2.1e+02, 2.2e+02
486, -0.484, -0.286, -0.174, 0.885, 0.626, 0.122, 0.518, 0.348, 0.16, 30, 8.2, 0.94, 2.8e+02, 30, 8.3, -1.2, 2.8e+02, 30, 8.4, 0.32, 2.8e+02, 2.8e+02
489, -0.481, -0.283, -0.177, 0.882, 0.61, 0.119, 0.52, 0.365, 0.18, 30, 8.1, -2.4, 2.8e+02, 30, 8.3, -0.21, 2.8e+02, 30, 8.2, -1.9, 2.8e+02, 2.8e+02
488, -0.483, -0.283, -0.175, 0.887, 0.61, 0.12, 0.507, 0.343, 0.175, 30, 8.3, -1.7, 2.8e+02, 30, 8.5, -0.3, 2.9e+02, 30, 8.2, 1.3, 2.8e+02, 2.8e+02
491, -0.485, -0.281, -0.177, 0.884, 0.617, 0.119, 0.434, 0.345, 0.177, 30, 8.4, -1.3, 2.8e+02, 30, 8, -2.4, 2.7e+02, 30, 8.4, -1.1, 2.8e+02, 2.8e+02
491, -0.489, -0.282, -0.176, 0.885, 0.618, 0.119, 0.439, 0.351, 0.177, 30, 8.3, -1.4, 2.8e+02, 30, 8.2, -2.2, 2.8e+02, 30, 8.5, 0.61, 2.9e+02, 2.8e+02
484, -0.485, -0.28, -0.175, 0.9, 0.61, 0.118, 0.509, 0.339, 0.183, 30, 8.4, -0.018, 2.8e+02, 30, 8.5, 0.43, 2.9e+02, 30, 8.4, 0.47, 2.8e+02, 2.8e+02
490, -0.478, -0.279, -0.175, 0.902, 0.61, 0.123, 0.543, 0.337, 0.183, 30, 8.3, -0.012, 2.8e+02, 30, 8.3, -0.27, 2.8e+02, 30, 8.3, 1.1, 2.8e+02, 2.8e+02
487, -0.482, -0.283, -0.175, 0.894, 0.61, 0.124, 0.403, 0.35, 0.18, 30, 8.5, 0.18, 2.9e+02, 30, 8.4, 0.29, 2.8e+02, 30, 8.6, 0.32, 2.9e+02, 2.9e+02
487, -0.479, -0.282, -0.175, 0.902, 0.607, 0.12, 0.467, 0.335, 0.178, 30, 8.5, 0.7, 2.9e+02, 30, 8.5, -1, 2.9e+02, 26, 6.5, -2.8, 2.3e+02, 2.7e+02
487, -0.483, -0.28, -0.176, 0.884, 0.598, 0.12, 0.43, 0.348, 0.182, 30, 8.2, -1.5, 2.8e+02, 30, 8.4, -1.3, 2.8e+02, 30, 8.5, -0.27, 2.8e+02, 2.8e+02
490, -0.48, -0.28, -0.175, 0.886, 0.603, 0.118, 0.52, 0.35, 0.183, 30, 8.4, 1.4, 2.8e+02, 30, 8.2, 1.8, 2.8e+02, 30, 8.5, 0.49, 2.9e+02, 2.8e+02
486, -0.484, -0.279, -0.175, 0.897, 0.61, 0.5, 0.597, 0.339, 0.186, 2.1, 0.44, -0.077, 16, 7.4, 0.35, 0.27, 20, 2.5, 0.44, 0.075, 17, 18
488, -0.478, -0.28, -0.174, 0.884, 0.614, 0.121, 0.381, 0.349, 0.181, 28, 7.2, 2.9, 2.5e+02, 30, 8.4, -0.71, 2.8e+02, 30, 8.6, -0.73, 2.9e+02, 2.7e+02
489, -0.479, -0.279, -0.174, 0.884, 0.61, 0.121, 0.383, 0.333, 0.179, 30, 8.5, 0.41, 2.9e+02, 30, 8.5, 0.053, 2.9e+02, 30, 8.5, -0.55, 2.9e+02, 2.9e+02
488, -0.486, -0.282, -0.177, 0.887, 0.604, 0.124, 0.425, 0.34, 0.178, 30, 8.5, -0.24, 2.9e+02, 30, 8.5, -0.81, 2.9e+02, 30, 8.4, -0.039, 2.8e+02, 2.9e+02
488, -0.485, -0.283, -0.0592, 0.887, 0.608, 0.12, 0.425, 0.346, 0.18, 7.1, 1.3, 0.11, 48, 13, 2.1, -0.65, 79, 21, 1.6, -2.8, 87, 71
489, -0.479, -0.279, -0.175, 0.882, 0.61, 0.122, 0.403, 0.336, 0.178, 30, 8.3, -1.5, 2.8e+02, 30, 8.3, 1.7, 2.8e+02, 30, 8.5, -0.49, 2.9e+02, 2.8e+02
489, -0.483, -0.279, -0.175, 0.883, 0.61, 0.119, 0.319, 0.342, 0.173, 30, 8.4, 1.5, 2.8e+02, 30, 8.4, -0.9, 2.8e+02, 30, 8.6, -0.039, 2.9e+02, 2.8e+02
487, -0.481, -0.286, -0.176, 0.883, 0.61, 0.119, 0.505, 0.347, 0.167, 30, 8.2, -2, 2.8e+02, 30, 8.3, -1.3, 2.8e+02, 30, 7.9, -2.2, 2.7e+02, 2.8e+02
484, -0.482, -0.286, -0.175, 0.885, 0.621, 0.119, 0.317, 0.335, 0.171, 30, 8.4, 0.62, 2.8e+02, 30, 8.3, 1.1, 2.8e+02, 30, 8.2, 1.7, 2.8e+02, 2.8e+02
490, -0.482, -0.281, -0.176, 0.885, 0.608, 0.119, 0.457, 0.349, 0.179, 30, 8.1, -2.1, 2.8e+02, 30, 8.5, -0.35, 2.9e+02, 30, 8.5, -0.26, 2.9e+02, 2.8e+02
490, -0.487, -0.282, -0.177, 0.885, 0.616, 0.118, 0.441, 0.351, 0.177, 28, 7.4, -2.8, 2.6e+02, 30, 8.5, -0.71, 2.9e+02, 30, 8.5, -0.18, 2.9e+02, 2.8e+02
484, -0.48, -0.281, -0.175, 0.885, 0.607, 0.124, 0.496, 0.338, 0.176, 30, 8.4, -0.14, 2.8e+02, 30, 8.3, -1.6, 2.8e+02, 30, 8.4, -0.82, 2.8e+02, 2.8e+02
489, -0.483, -0.279, -0.176, 0.887, 0.607, 0.124, 0.461, 0.345, 0.178, 30, 8.5, -0.62, 2.8e+02, 30, 8.3, -0.4, 2.8e+02, 30, 8.2, -1.9, 2.8e+02, 2.8e+02
487, -0.479, -0.28, -0.177, 0.886, 0.608, 0.124, 0.432, 0.347, 0.177, 30, 8.5, -0.72, 2.9e+02, 30, 8.2, -1.9, 2.8e+02, 30, 8.4, -1.5, 2.8e+02, 2.8e+02
486, -0.485, -0.282, -0.177, 0.887, 0.607, 0.124, 0.429, 0.348, 0.18, 30, 8.4, 0.087, 2.8e+02, 30, 8.5, 0.59, 2.9e+02, 30, 8.5, -0.078, 2.9e+02, 2.9e+02
491, -0.483, -0.282, 0, 0.899, 0.611, 0.118, 0.643, 0.347, 0.181, 1.1, 0.46, -0.034, 16, 1, 0.45, -0.039, 15, 1.1, 0.46, -0.043, 16, 16
483, -0.482, -0.283, -0.173, 0.896, 0.61, 0.119, 0.564, 0.346, 0.181, 30, 8.1, 1.5, 2.7e+02, 30, 8.3, 0.079, 2.8e+02, 30, 8.3, 1.4, 2.8e+02, 2.8e+02
488, -0.481, -0.282, -0.177, 0.887, 0.61, 0.122, 0.435, 0.348, 0.166, 30, 8.4, -0.21, 2.8e+02, 30, 8.5, -0.31, 2.9e+02, 30, 8.4, 0.94, 2.8e+02, 2.8e+02
488, -0.481, -0.282, -0.177, 0.886, 0.61, 0.123, 0.435, 0.348, 0.169, 30, 7.9, -2.7, 2.7e+02, 30, 8.5, -0.74, 2.9e+02, 30, 8.3, -1.6, 2.8e+02, 2.8e+02
489, -0.48, -0.282, -0.175, 0.886, 0.608, 0.123, 0.372, 0.351, 0.181, 24, 5.9, -2.8, 2.1e+02, 30, 8.5, -0.64, 2.8e+02, 30, 8.6, -0.46, 2.9e+02, 2.6e+02
486, -0.48, -0.281, -0.175, 0.887, 0.61, 0.121, 0.39, 0.351, 0.18, 30, 8.5, -1.2, 2.9e+02, 30, 8.5, -0.93, 2.9e+02, 30, 8.6, -0.47, 2.9e+02, 2.9e+02
488, -0.481, -0.281, -0.175, 0.886, 0.601, 0.118, 0.471, 0.341, 0.173, 30, 8.4, 0.88, 2.8e+02, 30, 7.9, 2.9, 2.7e+02, 30, 8.4, -1, 2.8e+02, 2.8e+02
489, -0.484, -0.279, -0.176, 0.886, 0.602, 0.123, 0.486, 0.341, 0.174, 30, 8.4, -0.83, 2.8e+02, 30, 8.4, 1, 2.8e+02, 30, 8.5, -0.26, 2.9e+02, 2.8e+02
486, -0.483, -0.279, -0.176, 0.886, 0.61, 0.122, 0.537, 0.344, 0.181, 30, 8.4, -0.087, 2.8e+02, 30, 8.3, 1.3, 2.8e+02, 30, 8.4, 0.9, 2.8e+02, 2.8e+02
486, -0.481, -0.28, -0.4, 0.893, 0.608, 0.124, 0.627, 0.343, 0.185, 1.3, -0.34, -0.16, 6.1, 1.2, -0.33, -0.15, 5.9, 1.3, -0.34, -0.17, 6.1, 6
488, -0.486, -0.28, -0.175, 0.883, 0.613, 0.118, 0.516, 0.337, 0.174, 30, 8.4, -0.22, 2.8e+02, 30, 8.4, -0.19, 2.8e+02, 30, 8.4, 0.19, 2.8e+02, 2.8e+02
489, -0.474, -0.281, -0.174, 0.882, 0.615, 0.12, 0.516, 0.339, 0.174, 30, 8.3, -1.9, 2.8e+02, 30, 8.5, 0.73, 2.8e+02, 30, 8.4, -0.81, 2.8e+02, 2.8e+02
487, -0.481, -0.281, -0.175, 0.887, 0.602, 0.119, 0.507, 0.354, 0.185, 30, 8.5, -0.11, 2.9e+02, 30, 8.3, -1.8, 2.8e+02, 29, 7.6, -2.8, 2.6e+02, 2.8e+02
487, -0.485, -0.282, -0.176, 0.886, 0.601, 0.119, 0.48, 0.356, 0.178, 30, 8.3, 0.083, 2.8e+02, 30, 8.4, -1.5, 2.8e+02, 30, 8.4, -0.82, 2.8e+02, 2.8e+02
487, -0.484, -0.281, -0.174, 0.897, 0.609, 0.118, 0.512, 0.351, 0.187, 30, 8.4, -0.49, 2.8e+02, 30, 8.4, -0.81, 2.8e+02, 30, 8.6, -0.42, 2.9e+02, 2.8e+02
488, -0.482, -0.282, -0.175, 0.885, 0.609, 0.119, 0.443, 0.347, 0.187, 30, 8.5, -0.8, 2.9e+02, 30, 8.5, 0.59, 2.9e+02, 30, 8.3, -0.11, 2.8e+02, 2.8e+02
490, -0.483, -0.28, -0.175, 0.885, 0.607, 0.122, 0.468, 0.339, 0.174, 30, 8.4, -1.1, 2.8e+02, 30, 8.3, -1.7, 2.8e+02, 30, 8.4, 1, 2.8e+02, 2.8e+02
484, -0.481, -0.28, -0.175, 0.883, 0.607, 0.124, 0.455, 0.346, 0.177, 30, 8.4, 1.1, 2.8e+02, 30, 8.4, -1.2, 2.8e+02, 30, 8.4, 0.22, 2.8e+02, 2.8e+02
493, -0.484, -0.281, -0.242, 0.892, 0.619, 0.119, 0.418, 0.357, 0.18, 26, 5.8, -2.8, 2.1e+02, 29, 6.3, -2.8, 2.3e+02, 26, 5.9, -2.8, 2.1e+02, 2.1e+02
488, -0.485, -0.283, -0.177, 0.885, 0.62, 0.119, 0.423, 0.35, 0.179, 30, 8.1, -1.2, 2.8e+02, 30, 8.4, 1.3, 2.8e+02, 30, 8.4, 0.81, 2.8e+02, 2.8e+02
488, -0.486, -0.4, -0.177, 0.887, 0.604, 0.123, 0.42, 0.342, 0.179, 21, 1.5, -2.8, 83, 4.6, 1.1, 0.28, 38, 4.4, 1, -0.021, 36, 52
488, -0.486, -0.283, -0.177, 0.894, 0.604, 0.117, 0.427, 0.338, 0.177, 30, 8.4, -0.5, 2.8e+02, 30, 8.5, -0.13, 2.9e+02, 30, 8.2, -2, 2.8e+02, 2.8e+02
487, -0.481, -0.281, -0.176, 0.887, 0.606, 0.121, 0.383, 0.351, 0.181, 30, 8.5, -1.2, 2.9e+02, 30, 8.5, -0.58, 2.9e+02, 30, 8.5, 0.51, 2.9e+02, 2.9e+02
490, -0.482, -0.28, -0.178, 0.886, 0.607, 0.122, 0.392, 0.351, 0.182, 30, 8.5, -0.6, 2.9e+02, 30, 8.2, 1.4, 2.8e+02, 30, 8.2, -2.1, 2.8e+02, 2.8e+02
487, -0.484, -0.281, -0.177, 0.886, 0.611, 0.122, 0.436, 0.342, 0.18, 30, 8.1, -2.4, 2.8e+02, 30, 8.5, -0.66, 2.8e+02, 30, 8.5, 0.18, 2.9e+02, 2.8e+02
488, -0.484, -0.281, -0.176, 0.886, 0.614, 0.118, 0.431, 0.345, 0.179, 30, 8.5, -0.31, 2.9e+02, 30, 8.5, -0.56, 2.9e+02, 30, 8.4, -1.6, 2.8e+02, 2.9e+02
492, -0.486, -0.281, -0.177, 0.884, 0.608, 0.119, 0.433, 0.36, 0.181, 30, 8.3, -2.1, 2.8e+02, 26, 6.6, -2.8, 2.3e+02, 30, 8.3, -0.068, 2.8e+02, 2.6e+02
492, -0.485, -0.281, -0.176, 0.884, 0.61, 0.12, 0.371, 0.354, 0.181, 30, 8.4, -1.4, 2.8e+02, 30, 8.4, -1.7, 2.8e+02, 30, 8.4, -1.5, 2.9e+02, 2.8e+02
489, -0.472, -0.282, -0.174, 0.887, 0.612, 0.5, 0.29, 0.346, 0.178, 30, 1.5, 0.23, 75, 4.4, 0.55, 0.057, 22, 24, -0.92, 0.49, 36, 44
488, -0.486, -0.281, -0.178, 0.881, 0.616, 0.119, 0.358, 0.346, 0.178, 30, 7.8, -0.15, 2.6e+02, 30, 8.5, 1.2, 2.9e+02, 30, 8.5, -0.78, 2.9e+02, 2.8e+02
489, -0.483, -0.279, -0.175, 0.883, 0.607, 0.123, 0.556, 0.342, 0.174, 27, 7, -2.8, 2.4e+02, 29, 7.4, -2.8, 2.6e+02, 30, 8.3, -1.1, 2.8e+02, 2.6e+02
489, -0.483, -0.279, -0.175, 0.882, 0.609, 0.122, 0.561, 0.341, 0.174, 30, 8.4, 0.91, 2.8e+02, 30, 8.3, -1.2, 2.8e+02, 30, 8.4, -0.4, 2.8e+02, 2.8e+02
492, -0.481, -0.281, -0.176, 0.884, 0.618, 0.118, 0.441, 0.361, 0.167, 30, 8.3, -1.3, 2.8e+02, 30, 8.4, -1.4, 2.8e+02, 28, 7.1, -2.8, 2.5e+02, 2.7e+02
492, -0.487, -0.281, -0.178, 0.882, 0.609, 0.124, 0.508, 0.346, 0.157, 30, 8.2, -2.4, 2.8e+02, 30, 8.4, -1.3, 2.8e+02, 30, 8.4, -0.32, 2.8e+02, 2.8e+02
486, -0.485, -0.281, -0.174, 0.887, 0.607, 0.123, 0.509, 0.338, 0.173, 30, 8.4, -0.24, 2.8e+02, 30, 8.2, -1.9, 2.8e+02, 30, 8.3, -1.4, 2.8e+02, 2.8e+02
489, -0.483, -0.282, -0.176, 0.884, 0.607, 0.124, 0.437, 0.351, 0.18, 30, 8.5, 0.17, 2.8e+02, 28, 7.4, -2.8, 2.6e+02, 30, 8.3, -1.1, 2.8e+02, 2.7e+02
487, -0.483, -0.281, -0.174, 0.883, 0.609, 0.118, 0.51, 0.336, 0.189, 30, 8.3, -0.54, 2.8e+02, 30, 8.4, -0.82, 2.8e+02, 30, 7.8, 2, 2.7e+02, 2.8e+02
489, -0.484, -0.281, -0.175, 0.899, 0.608, 0.12, 0.515, 0.343, 0.18, 30, 8.4, -0.61, 2.8e+02, 30, 8.3, -1.8, 2.8e+02, 30, 8.4, -1.5, 2.8e+02, 2.8e+02
491, -0.476, -0.28, -0.174, 0.887, 0.61, 0.123, 0.532, 0.351, 0.18, 30, 8.4, -0.1, 2.8e+02, 30, 8.4, -1.1, 2.8e+02, 30, 8.3, -1.7, 2.8e+02, 2.8e+02
491, -0.477, -0.28, -0.174, 0.887, 0.61, 0.117, 0.579, 0.351, 0.179, 30, 8.4, -0.6, 2.8e+02, 30, 8.4, 0.83, 2.8e+02, 30, 8.4, -1.1, 2.8e+02, 2.8e+02
487, -0.483, -0.281, -0.175, 0.887, 0.613, 0.121, 0.435, 0.345, 0.184, 30, 8.5, 0.094, 2.9e+02, 30, 8.5, -0.37, 2.9e+02, 30, 8.5, -0.15, 2.9e+02, 2.9e+02
488, -0.474, -0.281, -0.175, 0.884, 0.615, 0.119, 0.36, 0.351, 0.182, 30, 8.5, -1.1, 2.9e+02, 30, 8.4, -0.5, 2.8e+02, 30, 8.5, 0.18, 2.9e+02, 2.9e+02
487, -0.481, -0.282, -0.177, 0.887, 0.608, 0.123, 0.435, 0.348, 0.181, 30, 8.5, 0.64, 2.8e+02, 30, 8.4, -1.1, 2.8e+02, 30, 8.5, 0.58, 2.9e+02, 2.9e+02
487, -0.481, -0.282, -0.177, 0.887, 0.608, 0.123, 0.435, 0.348, 0.181, 30, 8.5, 0.51, 2.9e+02, 30, 8.5, -0.8, 2.9e+02, 30, 8.3, 1.8, 2.8e+02, 2.8e+02
484, -0.485, -0.284, -0.177, 0.885, 0.621, 0.121, 0.405, 0.348, 0.159, 30, 8.4, 0.7, 2.8e+02, 30, 8.4, 1.3, 2.8e+02, 30, 8.5, 0.51, 2.9e+02, 2.9e+02
493, -0.486, -0.285, -0.177, 0.886, 0.615, 0.125, 0.436, 0.357, 0.185, 30, 8.4, -1.4, 2.9e+02, 30, 8.5, -1.1, 2.9e+02, 30, 8.5, -0.4, 2.9e+02, 2.9e+02
487, -0.479, -0.281, -0.177, 0.885, 0, 0.121, 0.431, 0.361, 0.179, 0.85, -0.4, 0.022, 5.9, 0.85, -0.39, 0.02, 5.7, 0.85, -0.39, 0.014, 5.7, 5.8
490, -0.487, -0.282, -0.176, 0.884, 0.608, 0.122, 0.427, 0.344, 0.178, 30, 8.4, -0.087, 2.8e+02, 30, 8.5, -0.7, 2.9e+02, 30, 8.5, 0.26, 2.9e+02, 2.8e+02
488, -0.486, -0.28, -0.177, 0.887, 0.605, 0.118, 0.486, 0.338, 0.176, 30, 8.5, -0.55, 2.9e+02, 30, 8.2, -2.3, 2.8e+02, 30, 8, -2.8, 2.7e+02, 2.8e+02
491, -0.485, -0.281, -0.177, 0.887, 0.607, 0.121, 0.445, 0.355, 0.184, 30, 8.2, -1.8, 2.8e+02, 30, 8.6, -0.72, 2.9e+02, 30, 8.6, -0.26, 2.9e+02, 2.9e+02
490, -0.491, -0.28, -0.173, 0.887, 0.611, 0.119, 0.325, 0.358, 0.181, 30, 8.5, -0.41, 2.9e+02, 30, 8.5, -0.8, 2.9e+02, 30, 8.3, -1.5, 2.8e+02, 2.8e+02
486, -0.489, -0.28, -0.173, 0.887, 0.608, 0.119, 0.41, 0.351, 0.181, 30, 8.4, -1.2, 2.8e+02, 30, 8.5, -1.2, 2.9e+02, 30, 8.4, -0.64, 2.8e+02, 2.8e+02
489, -0.481, -0.279, -0.175, 0.882, 0.607, 0.123, 0.511, 0.341, 0.175, 30, 8.3, 0.95, 2.8e+02, 30, 8.2, -1.8, 2.8e+02, 30, 8.3, 0.21, 2.8e+02, 2.8e+02
489, -0.481, -0.279, -0.175, 0.882, 0.607, 0.123, 0.511, 0.5, 0.17, 30, 8.3, -0.68, 2.8e+02, 30, 8.3, -0.66, 2.8e+02, 28, 7, -2.8, 2.4e+02, 2.7e+02
487, -0.482, -0.28, -0.174, 0.885, 0.61, 0.119, 0.462, 0.353, 0.174, 30, 8, 2, 2.7e+02, 30, 8.5, -0.44, 2.9e+02, 30, 8.5, -0.68, 2.9e+02, 2.8e+02
485, -0.483, -0.279, -0.177, 0.882, 0.613, 0.119, 0.537, 0.336, 0.177, 30, 8.4, -0.15, 2.8e+02, 30, 8.2, -1.6, 2.8e+02, 30, 8.5, -0.043, 2.9e+02, 2.8e+02
486, -0.484, -0.281, -0.178, 0.887, 0.606, 0.122, 0.406, 0.349, 0.178, 27, 6.9, -2.8, 2.4e+02, 30, 8.4, 1.2, 2.9e+02, 30, 8.5, 0.00025, 2.9e+02, 2.7e+02
486, -0.485, -0.282, -0.176, 0.887, 0.608, 0.12, 0.56, 0.349, 0.176, 30, 8.4, 0.63, 2.8e+02, 30, 8.3, -1.8, 2.8e+02, 30, 8.4, -1.4, 2.8e+02, 2.8e+02
489, -0.482, -0.282, -0.176, 0.9, 0.608, 0.119, 0.459, 0.351, 0.183, 30, 8.4, -0.88, 2.8e+02, 30, 8.4, -0.26, 2.8e+02, 30, 8.4, -1, 2.8e+02, 2.8e+02
488, -0.482, -0.282, -0.175, 0.903, 0.608, 0.118, 0.46, 0.352, 0.186, 30, 8.4, 0.34, 2.8e+02, 24, 6.1, -2.8, 2.1e+02, 30, 8.4, -1.5, 2.9e+02, 2.6e+02
488, -0.485, -0.283, -0.177, 0.883, 0.609, 0.122, 0.413, 0.346, 0.179, 30, 8.3, -0.49, 2.8e+02, 30, 8.5, 0.41, 2.9e+02, 30, 8.5, -1, 2.9e+02, 2.8e+02
489, -0.481, -0.281, -0.177, 0.889, 0.609, 0.124, 0.436, 0.347, 0.179, 30, 8.4, 0.074, 2.8e+02, 30, 8.5, -0.091, 2.9e+02, 30, 8.3, -1.5, 2.8e+02, 2.8e+02
486, -0.487, -0.282, -0.176, 0.887, 0.608, 0.122, 0.406, 0.347, 0.18, 30, 8.3, -1.3, 2.8e+02, 30, 8.3, -2.1, 2.8e+02, 30, 7.8, -2.8, 2.7e+02, 2.8e+02
486, -0.48, -0.281, -0.176, 0.886, 0.61, 0.5, 0.411, 0.35, 0.18, 2.9, 0.36, 0.14, 15, 22, 0.22, -0.13, 30, 5.3, 0.29, 0.25, 16, 20
488, -0.485, -0.282, -0.178, 0.889, 0.608, 0.118, 0.507, 0, 0.18, 21, 4.6, -2.8, 1.7e+02, 30, 7.9, -1.8, 2.7e+02, 30, 8.1, -0.78, 2.7e+02, 2.4e+02
488, -0.484, -0.282, -0.177, 0.889, 0.61, 0.119, 0.495, 0.351, 0.176, 30, 8.1, -2.4, 2.8e+02, 30, 8.3, 1, 2.8e+02, 30, 8.4, 0.77, 2.8e+02, 2.8e+02
488, -0.481, -0.28, -0.174, 0.896, 0.608, 0.118, 0.478, 0.351, 0.191, 30, 8.5, -0.82, 2.9e+02, 30, 8.5, -1.4, 2.9e+02, 30, 8.3, -1.7, 2.8e+02, 2.8e+02
489, -0.481, -0.279, -0.175, 0.879, 0.607, 0.121, 0.479, 0.348, 0.187, 30, 8.5, -0.57, 2.9e+02, 30, 8.5, -0.31, 2.8e+02, 30, 8.3, -0.83, 2.8e+02, 2.8e+02
485, -0.484, -0.282, -0.178, 0.887, 0.619, 0.12, 0.523, 0.356, 0.181, 30, 8.4, -0.53, 2.8e+02, 30, 8.4, 0.75, 2.8e+02, 30, 8.5, -0.17, 2.8e+02, 2.8e+02
484, -0.484, -0.284, -0.172, 0.886, 0.633, 0.119, 0.528, 0.362, 0.158, 30, 8.4, -0.25, 2.8e+02, 30, 8.3, -0.6, 2.8e+02, 30, 8.3, -0.07, 2.8e+02, 2.8e+02
488, -0.479, -0.281, -0.176, 0.888, 0.608, 0.119, 0.521, 0.347, 0.175, 30, 8.4, -0.92, 2.8e+02, 30, 8.3, -1.5, 2.8e+02, 30, 8.3, -1.9, 2.8e+02, 2.8e+02
487, -0.473, -0.281, -0.175, 0.884, 0.607, 0.119, 0.53, 0.346, 0.172, 30, 8.5, 0.36, 2.8e+02, 30, 8.4, -1.1, 2.8e+02, 30, 8.4, -1, 2.8e+02, 2.8e+02
487, -0.481, -0.278, -0.176, 0.898, 0.617, 0.124, 0.387, 0.348, 0.184, 30, 8.4, -0.43, 2.8e+02, 30, 8.2, -2.1, 2.8e+02, 30, 8.5, -0.52, 2.9e+02, 2.8e+02
487, -0.481, -0.279, -0.174, 0.888, 0.615, 0.122, 0.373, 0.36, 0.194, 30, 8.5, -0.38, 2.9e+02, 30, 8.4, -1.4, 2.8e+02, 30, 8.5, -0.74, 2.9e+02, 2.9e+02
488, -0.487, -0.283, -0.177, 0.886, 0.606, 0.127, 0.435, 0.352, 0.178, 30, 8.5, -0.52, 2.9e+02, 30, 8.5, -0.27, 2.9e+02, 30, 8.6, 0.03, 2.9e+02, 2.9e+02
488, -0.484, -0.283, -0.177, 0.888, 0.606, 0.118, 0.402, 0.35, 0.182, 30, 8.5, 0.084, 2.9e+02, 30, 8.6, 0.6, 2.9e+02, 30, 8.6, -0.31, 2.9e+02, 2.9e+02
487, -0.484, -0.281, -0.175, 0.886, 0.607, 0.119, 0.386, 0.357, 0.18, 30, 8.4, -1.6, 2.8e+02, 30, 8.6, -0.25, 2.9e+02, 30, 8.4, -1.4, 2.8e+02, 2.8e+02
486, -0.485, -0.281, -0.176, 0.886, 0.606, 0.119, 0.495, 0.359, 0.177, 30, 8.4, 0.22, 2.8e+02, 30, 8.5, 0.62, 2.9e+02, 30, 8, -2.4, 2.7e+02, 2.8e+02
488, -0.482, -0.279, -0.174, 0.881, 0.374, 0.123, 0.441, 0.34, 0.18, 27, 6, -2.8, 2.1e+02, 28, 6.4, -2.8, 2.3e+02, 30, 7.4, -1.9, 2.5e+02, 2.3e+02
489, -0.48, -0.279, -0.176, 0.882, 0.612, 0.123, 0.471, 0.339, 0.173, 30, 8.2, 0.064, 2.8e+02, 30, 8.5, -0.41, 2.9e+02, 30, 8.4, -0.79, 2.8e+02, 2.8e+02
487, -0.485, -0.279, -0.177, 0.886, 0.611, 0.121, 0.393, 0.348, 0.181, 30, 8.4, -0.76, 2.8e+02, 30, 8.4, -1.1, 2.8e+02, 30, 8.5, 0.65, 2.9e+02, 2.8e+02
486, -0.484, -0.28, -0.175, 0.887, 0.61, 0.12, 0.574, 0.5, 0.182, 30, 8.2, 0.45, 2.8e+02, 30, 8.4, 0.036, 2.8e+02, 30, 8.3, -0.66, 2.8e+02, 2.8e+02
486, -0.78, -0.28, -0.176, 0.886, 0.61, 0.117, 0.519, 0.341, 0.186, 2.8, -0.16, 0.52, 9.2, 2.4, 0.36, 0.5, 17, 2.9, 0.46, 0.5, 20, 15
486, -0.484, -0.28, -0.177, 0.89, 0.608, 0.118, 0.664, 0.343, 0.182, 19, 4.5, -2.8, 1.6e+02, 30, 8.2, -1.8, 2.8e+02, 30, 8.3, -1.4, 2.8e+02, 2.4e+02
487, -0.481, -0.28, -0.176, 0.887, 0.608, 0.123, 0.383, 0.352, 0.171, 30, 8.5, -0.42, 2.9e+02, 30, 8.3, -2, 2.8e+02, 30, 8.3, -1.5, 2.8e+02, 2.8e+02
487, -0.481, -0.28, -0.176, 0.887, 0.605, 0.122, 0.446, 0.351, 0.183, 25, 6.3, -2.8, 2.2e+02, 30, 8.3, -1.9, 2.8e+02, 30, 8.3, -2.3, 2.8e+02, 2.6e+02
488, -0.483, -0.281, -0.174, 0.886, 0.61, 0.119, 0.42, 0.351, 0.18, 30, 8.4, 1.1, 2.8e+02, 30, 8.5, 0.16, 2.8e+02, 30, 8.5, 0.87, 2.9e+02, 2.9e+02
489, -0.484, -0.281, -0.174, 0.887, 0.611, 0.118, 0.417, 0.35, 0.179, 30, 8.4, -0.76, 2.8e+02, 30, 8.5, -0.07, 2.9e+02, 30, 8.4, -1.3, 2.8e+02, 2.8e+02
