T, A, B, Oc, C, Oj tj, Dp, Dn, E, t1, dx1, dy1, s1, t2, dx2, dy2, s2, t3, dx3, dy3, s3, savg
588, -0.783, -0.0807, 0.0133, 0.527, 0.207, 0.0863, 0.168, 0.129, 0.148, 2.6, -0.38, 0.21, 8, 2.7, -0.38, 0.17, 7.9, 2.6, -0.39, 0.19, 7.9, 7.9
386, -0.506, -0.0844, -0.303, 0.527, 0.357, 0.0896, 0.258, 0.22, 0.0811, 30, 0.097, 0.027, 34, 30, 0.084, 0.02, 34, 30, 0.12, 0.033, 35, 34
567, -0.355, -0.348, -0.0646, 0.648, -0.0966, 0.198, 0.139, -0.0865, 0.178, 4.2, -0.27, 0.23, 8.7, 3.7, -0.23, 0.41, 9.4, 4, -0.4, -0.059, 8.9, 9
442, -0.246, -0.349, -0.305, 0.549, 0.686, 0.17, 0.139, 0.386, -0.0756, 11, 1.9, -1.2, 72, 6, 1.3, -0.4, 47, 5.6, 0.57, -0.41, 25, 48
486, -0.481, -0.079, -0.222, 0.552, 0.323, 0.375, 0.089, 0.354, 0.175, 30, -0.3, 0.74, 39, 30, 0.71, -0.28, 53, 30, 0.7, -0.046, 52, 48
725, -0.492, -0.288, 0.0102, 0.473, 0.135, 0.48, 0.402, 0.286, 0.0333, 2.6, -0.57, -0.38, 10, 2.6, -0.51, -0.42, 10, 2.6, -0.55, -0.4, 10, 10
523, 0.0267, -0.0915, -0.222, 0.651, 0.734, 0.214, 0.279, 0.266, 0.124, 30, 0.099, 0.58, 39, 30, -0.071, 0.57, 37, 30, 0.061, 0.65, 39, 38
546, -0.209, -0.0121, -0.123, 0.74, 0.138, 0.0897, 0.351, 0.428, 0.124, 30, 0.15, 0.12, 36, 30, 0.04, 0.34, 35, 30, 0.076, 0.12, 34, 35
1.03e+03, -0.0964, -0.172, -0.249, 0.0179, 0.204, 0.0212, 0.354, 0.155, 0.0462, 1.4, -0.41, 0.0023, 6.5, 1.4, -0.39, 0.0034, 6.3, 1.5, -0.39, -0.00085, 6.4, 6.4
1.03e+03, -0.0964, -0.172, -0.249, 0.0179, 0.204, 0.0212, 0.354, 0.155, 0.0462, 1.8, -0.4, -0.0059, 6.7, 12, -0.39, -0.055, 17, 23, 0.02, -0.18, 26, 17
1e+03, 0.285, -0.155, -0.275, 0.412, 0.526, -0.221, 0.237, -0.046, 0.0884, 5.5, -0.0063, 0.41, 11, 5.7, -0.091, 0.45, 11, 4.9, -0.11, -0.46, 11, 11
663, 0.092, -0.187, -0.285, 0.42, 0.643, 0.472, 0.271, 0.0159, 0.0716, 3.7, 0.37, -0.31, 17, 2.7, 0.078, -0.45, 9.8, 3.8, -0.037, -0.42, 9.1, 12
391, -0.568, -0.259, -0.279, 0.203, 0.51, 0.301, 0.355, 0.169, 0.115, 1.2, -0.25, -0.2, 5.4, 1.3, -0.24, -0.21, 5.5, 1.3, -0.25, -0.22, 5.6, 5.5
403, -0.533, -0.00851, -0.293, 0.405, 0.459, 0.324, 0.392, 0.0657, 0.17, 1.9, -0.38, -0.16, 7, 1.9, -0.36, -0.18, 6.9, 1.9, -0.41, -0.15, 7.3, 7.1
476, -0.743, -0.286, -0.165, 0.363, 0.397, 0.48, 0.0725, 0.126, 0.152, 1.9, -0.42, 0.033, 7, 1.7, -0.41, 0.12, 7, 1.7, -0.36, 0.18, 6.7, 6.9
477, -0.651, -0.191, -0.212, 0.346, 0.487, 0.0542, 0.157, 0.114, 0.175, 2.6, 0.26, 0.47, 14, 3, 0.43, 0.35, 18, 2.6, -0.37, 0.47, 9.5, 14
689, -0.0189, -0.195, -0.0416, 0.603, 0.0775, 0.295, 0.252, 0.478, 0.118, 3.9, 0.45, 0.31, 19, 30, 0.021, 0.16, 33, 8.9, -0.43, 0.084, 14, 22
828, -0.00128, 0.043, -0.0865, 0.581, 0.141, 0.398, 0.422, 0.59, 0.201, 11, -0.57, -0.27, 19, 11, -0.43, 0.46, 19, 30, -2, 0.7, 52, 30
594, -0.376, -0.291, -0.125, 0.383, 0.449, 0.105, 0.18, 0.0178, 0.109, 3.5, 0.41, 0.16, 17, 3.4, -0.26, -0.39, 9.1, 4.2, -0.31, -0.44, 11, 12
515, -0.312, -0.209, -0.109, 0.309, 0.706, 0.263, 0.225, 0.0443, 0.153, 1.1, 0.44, -0.058, 15, 1.1, 0.44, -0.051, 15, 1.1, 0.46, -0.054, 16, 16
