T, A, B, Oc, C, Oj, tj, Dp, Dn, E, t1, dx1, dy1, s1, t2, dx2, dy2, s2, savg
391, -0.867, -0.305, -0.149, 0.817, 0.905, 0.478, 0.294, 0.304, 0.259, 0.82, 0.42, 0.12, 15, 0.82, 0.41, 0.12, 15, 10
406, -0.782, -0.151, -0.217, 0.752, 1.05, 0.247, 0.526, 0.101, 0.443, 0.7, 0.4, 0.029, 14, 0.7, 0.4, 0.027, 14, 9.6
303, -0.326, -0.231, -0.218, 0.568, 0.525, 0.143, 0.374, 0.733, 0.00612, 15, 0.49, 2.3, 64, 15, 1.3, 2.3, 84, 49
321, -0.325, -0.014, -0.226, 0.553, 0.72, 0.254, 0.43, 0.764, 0.123, 15, 0.83, 0.27, 56, 15, 0.54, 0.6, 50, 35
571, -0.247, -0.212, -0.231, 1.03, 1.03, 0.186, 0.811, 0.139, 0.259, 0.73, 0.42, -0.028, 15, 0.7, 0.4, -0.014, 14, 9.8
518, -0.163, -0.201, -0.115, 0.865, 1.46, 0.319, 0.984, 0.337, 0.319, 0.68, 0.35, -0.011, 13, 0.68, 0.37, -0.01, 13, 8.8
338, -0.354, -0.0662, -0.262, 0.643, 0.97, 0.197, 0.387, 0.289, 0.159, 0.77, 0.43, 0.0012, 16, 0.75, 0.43, 0.001, 15, 10
312, -0.365, -0.0577, -0.0159, 1.12, 0.932, 0.395, 0.44, 0.569, 0.129, 0.82, 0.39, 0.012, 14, 0.82, 0.38, 0.0015, 14, 9.5
481, -0.65, -0.249, -0.0248, 1.04, 1.04, 0.232, 0.769, 0.342, 0.2, 0.82, 0.38, 0.004, 14, 0.85, 0.39, 0.0067, 14, 9.4
519, -0.625, -0.259, -0.151, 1.06, 0.653, 0.294, 0.0529, 0.532, 0.473, 1.9, 0.37, -0.4, 18, 2, 0.45, -0.37, 20, 12
226, -0.361, -0.326, -0.153, 0.831, 1.91, 0.2, 0.264, 0.112, 0.364, 0.68, 0.36, -0.00058, 13, 0.62, 0.35, 0.012, 13, 8.6
338, -0.825, -0.284, -0.257, 0.576, 0.598, 0.249, 0.261, -0.018, 0.341, 1.4, -0.29, 0.025, 6.6, 1.4, -0.2, 0.11, 6.1, 4.2
214, -0.359, -0.27, -0.287, 0.217, 0.924, 0.0508, 0.387, 0.702, -0.138, 0.82, 0.37, -0.059, 14, 0.8, 0.35, -0.057, 13, 9
295, -0.626, -0.288, -0.231, 0.452, 0.905, 0.0818, 0.374, 0.402, 0.42, 0.77, 0.38, -0.038, 14, 0.8, 0.39, -0.037, 14, 9.4
522, -0.359, -0.0471, -0.133, 0.142, 1.21, 0.338, 0.579, 0.0468, 0.398, 0.68, 0.37, 0.0067, 13, 0.7, 0.38, 0.0038, 14, 9.1
193, -0.443, -0.0744, -0.154, 0.282, 1.21, 0.0757, 0.51, 1, 0.304, 0.65, 0.35, -0.023, 13, 0.65, 0.36, 0.006, 13, 8.7
446, -0.783, -0.025, -0.135, 0.712, 0.955, 0.0741, 0.47, 0.247, 0.487, 0.73, 0.4, 0.0012, 14, 0.73, 0.39, -0.0041, 14, 9.5
446, -0.783, -0.025, -0.135, 0.712, 0.955, 0.0741, 0.47, 0.247, 0.487, 0.73, 0.39, -0.0056, 14, 0.73, 0.39, -0.0069, 14, 9.4
502, -0.213, -0.075, -0.245, 1.15, 0.961, 0.417, 0.342, 0.454, 0.036, 0.75, 0.4, 0.047, 15, 0.75, 0.42, 0.046, 15, 9.9
401, -0.498, -0.0525, -0.13, 1.14, 0.996, 0.401, 0.31, 0.342, 0.216, 0.73, 0.4, 0.067, 14, 0.73, 0.4, 0.069, 14, 9.6
498, -0.428, -0.312, -0.276, 1.01, 0.875, 0.0595, -0.0129, 0.615, 0.199, 15, 1.2, -0.73, 68, 0.95, 0.42, -0.0012, 16, 28
514, -0.548, -0.241, -0.278, 0.862, 0.325, -0.148, 1.68, 0.455, 0.23, 3, -0.65, -0.29, 14, 15, -2, -0.12, 51, 22
265, -0.441, -0.275, -0.206, 0.482, 0.43, 0.135, 0.396, 0.74, 0.205, 2.9, 0.024, -0.52, 13, 1.9, 0.29, -0.013, 13, 8.7
283, -0.457, -0.0426, -0.214, 0.498, 0.739, 0.246, 0.369, 0.772, 0.109, 6.4, 0.43, -0.15, 27, 1.2, 0.37, 0.008, 15, 14
505, -0.185, -0.154, 0.0697, 0.715, 1.23, 0.334, 0.286, 0.37, 0.175, 1.8, 0.31, 0.097, 14, 1.8, 0.25, 0.16, 12, 8.8
545, -0.296, -0.165, -0.411, 0.867, 0.865, 0.311, 0.995, 0.693, 0.15, 1.1, 0.47, -0.00084, 17, 1.1, 0.48, 0.022, 18, 12
304, -0.347, -0.294, -0.194, 0.426, 0.794, 0.188, 0.99, 0.622, 0.281, 0.9, 0.4, -0.023, 15, 0.95, 0.4, -0.024, 15, 9.9
259, -0.852, -0.27, -0.154, 0.172, 0.862, 0.318, 1.04, 0.622, 0.256, 0.8, 0.33, -0.049, 12, 0.85, 0.34, -0.065, 13, 8.4
692, -0.422, -0.151, -0.104, 0.786, 0.562, -0.081, 0.941, 0.197, 0.0363, 4.8, -0.11, 0.068, 12, 2.8, 0.073, -0.43, 13, 8.1
150, -0.287, -0.151, -0.368, 0.905, 0.515, 0.0851, 0.948, 0.199, 0.118, 15, 0.0054, -0.11, 32, 15, 0.014, -0.12, 33, 22
409, -0.407, 0.0158, -0.29, 0.453, 1, 0.239, 0.519, 0.0502, 0.269, 0.75, 0.41, 0.0063, 15, 0.75, 0.42, 0.0085, 15, 10
399, -0.559, -0.2, -0.194, 1.06, 0.783, 0.178, -0.08, -0.175, 0.157, 1, 0.48, 0.024, 18, 1.1, 0.48, -0.021, 18, 12
345, -0.245, 0.134, -0.27, 0.556, 0.463, 0.375, 0.326, 0.875, 0.388, 15, -1.5, 0.79, 48, 15, -1.6, -0.42, 47, 32
508, -0.242, -0.164, -0.235, 0.558, 0.466, 0.476, 0.362, 0.557, 0.406, 1.8, -0.46, -0.017, 9.2, 1.8, -0.45, 0.031, 9.1, 6.1
551, -0.501, -0.325, -0.0791, 0.0132, 0.853, 0.188, 0.987, 0.391, 0.154, 0.8, 0.4, -0.011, 14, 0.8, 0.4, 0.021, 15, 9.7
535, -0.559, -0.183, -0.0779, 0.0463, 0.709, 0.253, 0.866, 0.418, 0.18, 1, 0.45, -0.047, 16, 1.1, 0.41, -0.12, 16, 11
473, -1.03, 0.0173, -0.24, 0.502, 1.04, 0.236, 0.164, 0.998, 0.431, 0.73, 0.42, 0.043, 15, 0.73, 0.43, 0.049, 15, 10
382, -0.69, -0.244, -0.249, 0.273, 0.0306, 0.258, 0.481, -0.0586, 0.442, 0.7, -0.37, 0.055, 6.1, 0.7, -0.38, 0.051, 6.2, 4.1
313, -0.343, -0.0639, -0.227, 0.517, 0.66, 0.278, 0.418, 0.423, 0.119, 1.6, -0.21, -0.13, 6.6, 1.4, -0.24, -0.02, 6.3, 4.3
337, -0.323, -0.00872, -0.228, 0.591, 0.951, 0.209, 0.435, 0.909, 0.158, 0.77, 0.43, -0.002, 15, 0.77, 0.43, -4.7e-05, 15, 10
462, -0.751, -0.109, -0.11, 0.291, 0.559, 0.338, 0.168, -0.0236, 0.423, 9.2, 0.14, 0.48, 27, 2.3, 0.46, -0.029, 20, 16
557, -0.615, -0.324, -0.315, 0.983, 0.71, 0.29, 0.482, 0.674, 0.587, 1.5, -0.32, 0.19, 7.8, 1.4, -0.39, 0.032, 7.7, 5.2
430, -0.992, -0.0993, -0.134, 0.955, 0.47, 0.104, 1, 0.104, -0.0319, 3, 0.53, 0.44, 25, 2.7, 0.51, -0.11, 22, 16
337, -0.365, -0.159, -0.0994, 1.05, 0.534, 0.093, 0.457, 0.0541, 0.131, 15, 0.97, 0.47, 61, 15, 1.2, -0.039, 67, 43
275, -0.689, -0.0375, -0.15, 1.48, 0.519, -0.0447, 0.585, 0.813, 0.477, 4, -0.26, -0.28, 13, 11, -0.13, 0.33, 26, 13
349, -0.755, -0.0377, -0.15, 0.417, 0.718, 0.0876, 0.734, 0.445, 0.487, 1.2, 0.35, -0.094, 14, 1.2, 0.38, -0.074, 15, 9.6
256, -0.0902, -0.138, -0.252, 0.601, 0.534, 0.269, 0.432, 0.151, 0.132, 15, 0.052, -0.3, 35, 15, 0.044, -0.24, 34, 23
240, -0.501, -0.179, -0.239, 0.503, 0.455, 0, 0.365, 0.589, 0.135, 1.7, -0.35, 0.21, 8.4, 1.5, -0.35, 0.15, 7.9, 5.4
350, -0.852, -0.293, -0.121, 1.4, 0.468, 0.137, 0.506, 0.18, 0.21, 15, 0.93, -2.1, 73, 3.4, 0.79, 0.37, 32, 35
336, -0.871, -0.296, -0.156, 0.947, 0.927, 0.405, 0.542, 0.319, 0.148, 0.85, 0.41, 0.088, 15, 0.8, 0.4, 0.079, 15, 9.9
413, -0.488, -0.0414, -0.315, 0.942, 0.507, 0.315, 0.766, 0.719, 0.208, 1, -0.14, -0.26, 6, 0.98, -0.18, -0.2, 5.7, 3.9
373, -0.655, -0.0544, -0.517, 1.21, 0.385, 0.409, 0.858, 0.339, 0.171, 0.7, -0.35, -0.02, 5.9, 0.7, -0.35, -0.018, 5.9, 3.9
339, -0.787, -0.0318, -0.346, 1.05, 0.866, 0.368, 0.377, 0.346, 0.294, 1.4, 0.46, 0.061, 18, 1.1, 0.44, 0.04, 16, 11
405, -0.728, -0.0376, -0.337, 0.395, 0.816, 0.323, 0.446, 0.225, 0.245, 1.2, 0.39, 0.096, 15, 1.9, 0.42, 0.1, 17, 11
428, -0.192, -0.154, -0.266, 0.74, 0.721, 0.339, 0.226, 0.654, 0.278, 3.7, 0.54, 0.34, 25, 2.8, 0.18, -0.39, 15, 13
389, -0.342, -0.14, -0.206, 0.83, 0.716, 0.115, -0.0121, 0.918, 0.316, 15, 2.2, 0.32, 98, 15, 2.1, 0.44, 96, 65
303, -0.853, -0.334, -0.242, 0.612, 0.455, 0.0772, 0.379, 0.683, 0.0975, 1.3, -0.24, -0.0016, 6, 1.4, -0.25, -0.043, 6.3, 4.1
324, -0.294, -0.263, -0.299, 0.663, 0.437, 0.168, 0.37, 0.806, 0.0209, 15, 2.1, 1.9, 1e+02, 15, 2, 2, 99, 67
468, -1.26, -0.0936, -0.107, 0.959, 0.59, 0.0258, 0.97, 0.000511, 0.105, 2.3, 0.059, 0.42, 11, 2.3, 0.54, -0.039, 22, 11
