T, A, B, Oc, C, Oj, tj, Dp, Dn, t1, dx1, dy1, s1, t2, dx2, dy2, s2, t3, dx3, dy3, s3, savg
1.75e+03, -0.521, -0.0445, -0.162, 0.675, 0.662, 0.193, 0.178, 0.303, 5.3, 0.15, -0.49, 14, 5.3, 0.46, -0.14, 20, 5.2, -0.12, -0.45, 11, 15
408, -0.25, -0.0445, -0.162, 0.237, 0.464, 0.0944, 0.272, 0.38, 30, 0.34, -2.1, 59, 30, -0.6, -1.2, 44, 30, -0.43, -1.3, 44, 49
851, -0.378, -0.285, -0.266, 0.675, 0.587, 0, 0.253, 0.099, 4.8, 0.43, -0.055, 19, 7.8, 0.093, 0.48, 16, 15, -0.12, 0.44, 20, 18
482, -0.34, -0.0445, -0.162, 0, 0.587, 0.214, 0.0363, 0, 3.3, -0.39, 0.3, 9.2, 4.3, 0.7, -0.13, 26, 3.5, 0.54, -0.12, 21, 19
408, -0.378, -0.0938, -0.266, 0.728, 0.58, 0.228, 0.253, 0.108, 30, 3.8, 2.8, 1.6e+02, 30, 4.6, 0.99, 1.7e+02, 30, 4.7, -1.2, 1.7e+02, 1.7e+02
587, -0.296, -0.0766, -0.174, 0.181, 0.252, 0.0182, 0.272, 0.099, 30, -0.1, -0.0083, 32, 4.8, -0.19, 0.26, 9, 30, 0.15, -0.022, 35, 25
851, -0.318, -0.285, -0.0291, 0.237, 0.335, 0.446, 0.0174, 0.308, 3.8, -0.55, -0.12, 10, 3.2, 0.029, 0.54, 10, 5.1, -0.3, 0.41, 11, 11
1.04e+03, -0.752, -0.253, -0.159, 0.0961, 0.581, 0.0272, 0.101, 0.491, 4, -0.46, -0.48, 12, 4.3, -0.35, -0.19, 9.4, 4.7, -0.13, 0.21, 8.1, 9.7
806, -0.413, -0.254, -0.0325, 0.00822, 0.485, 0.139, 0.385, 0.0907, 5.3, -0.48, 0.05, 11, 4.4, -0.61, -0.029, 12, 4.4, -0.57, 0.071, 11, 11
851, -0.109, -0.1, -0.0291, 0.237, 0.223, 0.125, 0.0363, 0.368, 30, -0.089, -0.19, 33, 30, 0.11, -0.14, 35, 30, 0.16, -0.23, 37, 35
1.28e+03, -0.296, -0.285, -0.227, 0.728, 0.252, 0.0182, 0.272, 0.099, 6.2, 0.073, 0.46, 13, 6.8, 0.17, -0.45, 16, 6.9, 0.19, -0.45, 17, 15
408, -0.363, -0.179, -0.339, 0.525, 0.464, 0.112, 0.253, 0.491, 3.7, -0.15, -0.092, 6.4, 30, 0.14, -1.2, 46, 2.5, -0.27, 0.23, 7.1, 20
806, -0.25, -0.0324, -0.225, 0.00822, 0.581, 0.0944, 0.246, 0.429, 30, 0.014, 0.78, 39, 30, 0.26, 0.75, 44, 10, -0.13, 0.44, 16, 33
965, -0.413, -0.256, -0.0325, 0.00822, 0.581, 0.0272, 0.158, 0.491, 4.5, -0.45, -0.4, 12, 4.9, 0.41, -0.25, 19, 5, 0.29, -0.36, 16, 16
806, -0.413, -0.253, -0.104, 0.587, 0.534, 0.12, 0.385, 0.087, 3.5, 0.43, -0.33, 19, 8.4, 0.91, 0.72, 39, 3.5, 0.48, -0.24, 20, 26
587, -0.318, -0.0766, -0.159, 0.0961, 0.485, 0.139, 0.0174, 0.0907, 6.8, -0.02, 0.26, 10, 9.9, 0.44, 0.17, 25, 7.7, -0.27, 0.5, 14, 16
1.04e+03, -0.752, -0.254, -0.174, 0.181, 0.335, 0.446, 0.101, 0.308, 3.1, -0.11, 0.52, 9.4, 3.8, -0.21, -0.2, 7.7, 3.1, 0.011, 0.49, 9.2, 8.8
