T, A, B, Oc, C, Oj, tj, Dp, Dn, t1, dx1, dy1, s1, t2, dx2, dy2, s2, t3, dx3, dy3, s3, savg
481, -0.34, -0.4, -0.266, 0.676, 0.587, 0.5, 0.272, 0.099, 1.1, -0.068, -0.28, 5, 1.1, -0.077, -0.26, 4.9, 1.1, -0.11, -0.26, 4.9, 4.9
587, -0.34, -0.202, -0.174, 0.78, 0.587, 0.193, 0.33, 0.099, 25, 2.3, 2.9, 1.1e+02, 28, 2.9, 2.9, 1.3e+02, 30, 4.3, -0.16, 1.6e+02, 1.3e+02
587, -0.34, -0.0445, -0.174, 0.78, 0.587, 0.214, 0.272, 0.099, 30, 3.2, 0.83, 1.3e+02, 30, 3.1, 1, 1.3e+02, 30, 2, 2.5, 1e+02, 1.2e+02
482, -0.378, -0.0766, -0.162, 0.78, 0.58, 0.214, 0.272, 0.099, 25, 1.7, -2.8, 94, 30, 3.7, -1.7, 1.5e+02, 26, 0.78, -2.8, 72, 1e+02
408, -0.378, -0.1, -0.266, 0.748, 0.581, 0.134, 0.253, 0.099, 24, 1.9, 2.9, 98, 26, 2.7, 2.9, 1.2e+02, 27, 1.5, 2.8, 90, 1e+02
408, -0.25, -0.202, -0.162, 0.728, 0.58, 0.228, 0.272, 0.429, 30, 1.8, 2.3, 96, 30, 3.1, 2, 1.3e+02, 28, 1.1, 2.8, 82, 1e+02
482, -0.378, -0.0766, -0.0291, 0.676, 0.301, 0.125, 0.33, 0.108, 30, 4.2, -0.052, 1.6e+02, 30, 4.1, 1.1, 1.5e+02, 30, 4.2, 0.93, 1.6e+02, 1.6e+02
482, -0.378, -0.0445, -0.174, 0.78, 0.587, 0.0944, 0.272, 0.099, 30, 3.2, -0.017, 1.3e+02, 30, 3.2, 0.019, 1.3e+02, 30, 3.2, -0.056, 1.3e+02, 1.3e+02
408, -0.34, -0.0445, -0.269, 0.504, 0.581, 0.134, 0.0363, 0.303, 10, 1.4, 0.16, 55, 30, 4.6, -0.27, 1.7e+02, 30, 3.3, -2.8, 1.4e+02, 1.2e+02
408, -0.34, -0.0445, -0.0291, 0.504, 0.223, 0.125, 0.272, 0.368, 28, 1.4, -2.8, 89, 27, 1.5, -2.8, 89, 27, 0.93, -2.8, 76, 85
408, -0.34, -0.1, -0.174, 0.78, 0.656, 0.0944, 0.213, 0.099, 29, 0.55, 2.9, 70, 30, 0.38, 2.3, 62, 30, 0.21, 2.3, 59, 64
587, -0.34, -0.0445, -0.154, 0.78, 0.563, 0.214, 0.272, 0.429, 30, 3.3, 1.3, 1.3e+02, 30, 3.3, 0.69, 1.3e+02, 30, 3.3, -0.3, 1.3e+02, 1.3e+02
482, -0.34, -0.0766, -0.162, 0.748, 0.587, 0.228, 0.253, 0.38, 30, 3.7, -0.98, 1.4e+02, 30, 2.6, -2.8, 1.2e+02, 30, 3.9, -0.67, 1.5e+02, 1.4e+02
408, -0.378, -0.202, -0.174, 0.525, 0.58, 0.214, 0.272, 0.099, 30, 0.11, 0.44, 38, 30, -0.29, -0.57, 37, 30, -0.19, 0.19, 34, 36
587, -0.34, -0.0766, -0.174, 0.78, 0.563, 0.214, 0.272, 0.099, 30, 3.4, 1.7, 1.4e+02, 30, 3.8, -0.24, 1.4e+02, 30, 3.6, 1.1, 1.4e+02, 1.4e+02
587, -0.34, -0.1, -0.174, 0.78, 0.587, 0.228, 0.253, 0.099, 30, 3.8, 1.4, 1.5e+02, 30, 3.9, 0.73, 1.5e+02, 30, 3.9, 0.83, 1.5e+02, 1.5e+02
408, -0.34, -0.0766, -0.174, 0.748, 0.464, 0.228, 0.272, 0.099, 30, 1.3, 2.1, 81, 30, 3.1, -0.023, 1.2e+02, 30, 3.1, -0.035, 1.2e+02, 1.1e+02
482, -0.34, -0.0445, -0.162, 0.504, 0.58, 0.214, 0.253, 0.108, 30, 3.8, -0.39, 1.4e+02, 30, 3.9, 0.19, 1.5e+02, 30, 3.7, -0.66, 1.4e+02, 1.5e+02
482, -0.378, -0.0766, -0.174, 0.748, 0.587, 0.228, 0.272, 0.099, 30, 4, 1.7, 1.5e+02, 30, 3.7, 1.2, 1.5e+02, 27, 2.5, -2.8, 1.1e+02, 1.4e+02
482, -0.378, -0.202, -0.174, 0.748, 0.587, 0.214, 0.272, 0.099, 30, 4.6, 0.77, 1.7e+02, 30, 4.6, -1.1, 1.7e+02, 26, 2.7, -2.8, 1.2e+02, 1.5e+02
408, -0.34, -0.0445, -0.269, 0.525, 0.58, 0.228, 0.253, 0.303, 17, 2, 0.53, 79, 30, 3.6, 2.1, 1.4e+02, 7.9, 1.3, -0.37, 48, 90
587, -0.34, -0.0445, -0.162, 0.78, 0.58, 0.214, 0.272, 0.099, 30, 3.1, 1.1, 1.3e+02, 30, 3.2, -0.34, 1.3e+02, 30, 3.2, 0.24, 1.3e+02, 1.3e+02
587, -0.34, -0.0766, -0.174, 0.78, 0.563, 0.214, 0.272, 0.099, 30, 3.5, 0.74, 1.4e+02, 30, 3.7, -0.61, 1.4e+02, 30, 3.8, 0.37, 1.5e+02, 1.4e+02
408, -0.378, -0.0938, -0.266, 0.78, 0.58, 0.228, 0.272, 0.108, 30, -0.46, 1.5, 46, 30, 4.6, -0.065, 1.7e+02, 30, 4.1, -2.4, 1.6e+02, 1.3e+02
482, -0.378, -0.0445, -0.174, 0.728, 0.587, 0.0944, 0.253, 0.099, 30, 3.4, 0.28, 1.3e+02, 30, 3.3, -0.066, 1.3e+02, 30, 3.2, -0.56, 1.3e+02, 1.3e+02
587, -0.34, -0.0445, -0.154, 0.78, 0.563, 0.125, 0.272, 0.429, 30, 1.3, 0.037, 70, 30, 1.3, -0.056, 70, 30, 1.3, 0.084, 70, 70
482, -0.378, -0.0766, -0.0291, 0.78, 0.587, 0.214, 0.272, 0.099, 30, -0.039, 1.8, 49, 30, 1, 2, 75, 30, 0.57, 1.9, 62, 62
482, -0.34, -0.0766, -0.174, 0.78, 0.587, 0.0944, 0.253, 0.108, 30, 1.1, -1.9, 75, 30, 2.7, -1.4, 1.2e+02, 30, 3.1, -0.7, 1.2e+02, 1e+02
587, -0.378, -0.179, -0.315, 0.676, 0.563, 0.214, 0.272, 0, 30, 5.1, -2.3, 1.9e+02, 3.7, 0.62, -0.42, 25, 18, 2, -2.8, 94, 1e+02
587, -0.378, -0.0766, -0.0291, 0.78, 0.587, 0.125, 0.33, 0.108, 1.5, 0.45, -0.049, 16, 30, 2.6, -0.23, 1.1e+02, 3.1, 0.61, -0.2, 23, 49
482, -0.34, -0.202, -0.174, 0.676, 0.301, 0.193, 0.33, 0.099, 30, 1.1, -2.4, 79, 24, 0.48, 2.9, 64, 30, -0.27, -1.5, 46, 63
481, -0.25, -0.0445, -0.227, 0.748, 0.464, 0.214, 0.272, 0.303, 30, 2.1, -1.1, 98, 30, 2.1, -1.2, 97, 30, 2.1, -1.1, 98, 98
408, -0.34, -0.179, -0.269, 0.417, 0.581, 0.134, 0.253, 0.099, 11, 0.5, -1.1, 34, 6, 0.53, -0.032, 23, 12, 0.71, -1.2, 41, 33
587, -0.378, -0.1, -0.154, 0.748, 0.656, 0.214, 0.213, 0.099, 30, 4.5, -0.6, 1.7e+02, 30, 3.8, -2, 1.5e+02, 30, 4.4, 0.23, 1.6e+02, 1.6e+02
482, -0.34, -0.202, -0.174, 0.78, 0.587, 0.214, 0.272, 0.099, 30, 4.3, -0.83, 1.6e+02, 27, 2.4, 2.9, 1.1e+02, 30, 3.5, 2.1, 1.4e+02, 1.4e+02
587, -0.34, -0.0766, -0.174, 0.78, 0.301, 0.214, 0.33, 0.099, 30, -0.82, -1.6, 49, 30, 2.6, -1.8, 1.2e+02, 30, 3.2, -1.1, 1.3e+02, 98
408, -0.25, -0.179, -0.174, 0.78, 0.563, 0.214, 0.272, 0.099, 30, 0.2, 2.1, 57, 30, -0.11, 1.8, 49, 30, 0.42, 2.3, 63, 56
587, -0.34, -0.202, -0.174, 0.78, 0.58, 0.214, 0.253, 0.099, 3.1, 0.57, 0.16, 21, 2.8, 0.23, 0.5, 14, 2.9, 0.36, 0.41, 16, 17
482, -0.34, -0.0445, -0.162, 0.504, 0.587, 0.193, 0.33, 0.108, 30, 3.9, -0.3, 1.5e+02, 30, 3.6, 1.5, 1.4e+02, 30, 3.8, 0.37, 1.5e+02, 1.5e+02
587, -0.25, -0.202, -0.339, 0, 0.587, 0.193, 0.176, 0.099, 3.7, 0.18, 0.42, 13, 4.7, 0.013, -0.33, 9.2, 3.9, -0.36, -0.15, 8.8, 10
482, -0.34, -0.1, -0.174, 0.78, 0.662, 0.214, 0.33, 0.099, 30, 3.8, 0.54, 1.4e+02, 27, 2.1, -2.8, 1e+02, 29, 2.9, -2.8, 1.3e+02, 1.3e+02
482, -0.378, -0.0938, -0.266, 0.728, 0.587, 0.214, 0.33, 0.099, 30, 4.7, -2.3, 1.8e+02, 27, 3.9, -2.8, 1.5e+02, 30, 5, -2, 1.9e+02, 1.7e+02
408, -0.378, -0.1, -0.266, 0.676, 0.58, 0.228, 0.253, 0.108, 30, 3.3, 2.9, 1.4e+02, 21, 2, 2.9, 98, 30, 4.9, -0.22, 1.8e+02, 1.4e+02
482, -0.378, -0.0766, -0.162, 0.748, 0.581, 0.228, 0.253, 0.099, 30, 4.1, -1, 1.6e+02, 30, 4, 0.67, 1.5e+02, 30, 3.9, 1, 1.5e+02, 1.5e+02
587, -0.34, -0.0445, -0.162, 0.78, 0.58, 0.214, 0.253, 0.108, 30, 3.2, 0.36, 1.3e+02, 30, 3.3, 0.44, 1.3e+02, 30, 3.2, 0.23, 1.3e+02, 1.3e+02
482, -0.34, -0.0445, -0.162, 0.504, 0.58, 0.214, 0.272, 0.099, 30, 3.6, -1.1, 1.4e+02, 30, 3.7, -0.99, 1.4e+02, 30, 3.9, 0.23, 1.5e+02, 1.4e+02
482, -0.378, -0.0766, -0.174, 0.748, 0.587, 0.214, 0.272, 0.099, 30, 4.2, -0.28, 1.6e+02, 30, 4.1, 0.85, 1.5e+02, 30, 4.1, 0.97, 1.5e+02, 1.6e+02
482, -0.378, -0.202, -0.174, 0.748, 0.587, 0.228, 0.272, 0.099, 30, 4.4, -1.6, 1.7e+02, 24, 2.4, -2.8, 1.1e+02, 30, 4.6, 0.12, 1.7e+02, 1.5e+02
482, -0.378, -0.0938, -0.266, 0.728, 0.587, 0.214, 0.33, 0.099, 30, 4.6, -1.4, 1.7e+02, 30, 5.1, -0.97, 1.8e+02, 27, 4, -2.8, 1.6e+02, 1.7e+02
587, -0.34, -0.0766, -0.174, 0.78, 0.563, 0.214, 0.33, 0.099, 30, 3.8, 0.24, 1.5e+02, 30, 3.6, 0.76, 1.4e+02, 30, 3.6, 1.1, 1.4e+02, 1.4e+02
482, -0.378, -0.0766, -0.162, 0.748, 0.587, 0.228, 0.272, 0.099, 30, 4.2, -0.37, 1.6e+02, 30, 4.1, 0.49, 1.6e+02, 30, 3.6, 1.7, 1.4e+02, 1.5e+02
482, -0.34, -0.0766, -0.174, 0.748, 0.587, 0.228, 0.253, 0.38, 30, 3.8, -0.75, 1.5e+02, 27, 1.4, -2.8, 89, 30, 4, -0.11, 1.5e+02, 1.3e+02
482, -0.378, -0.202, -0.174, 0.748, 0.587, 0.214, 0.272, 0.099, 30, 4.7, -0.16, 1.7e+02, 28, 3.1, -2.8, 1.3e+02, 30, 4.7, 0.025, 1.7e+02, 1.6e+02
482, -0.378, -0.202, -0.174, 0.748, 0.587, 0.214, 0.272, 0.099, 30, 4.7, -0.98, 1.7e+02, 30, 4.5, -1.5, 1.7e+02, 29, 3.6, -2.8, 1.5e+02, 1.6e+02
482, -0.34, -0.1, -0.174, 0.78, 0.563, 0.193, 0.272, 0.099, 30, 3.3, -2.1, 1.4e+02, 28, 1.3, -2.8, 85, 30, 3.1, -2.2, 1.3e+02, 1.2e+02
587, -0.25, -0.0766, -0.266, 0.676, 0.662, 0.214, 0.33, 0.099, 30, -0.5, -0.6, 39, 5, 0.5, -0.34, 22, 2.9, 0.27, -0.38, 14, 25
587, -0.34, -0.1, -0.154, 0.78, 0.656, 0.214, 0.272, 0.099, 30, 4, -0.28, 1.5e+02, 4.1, 0.67, -0.046, 25, 2.8, 0.21, 0.5, 13, 64
587, -0.34, -0.0766, -0.174, 0.78, 0.563, 0.214, 0.213, 0.099, 30, 3.7, 0.46, 1.4e+02, 30, 3.6, 0.31, 1.4e+02, 30, 3.8, 0.22, 1.4e+02, 1.4e+02
482, -0.378, -0.202, -0.174, 0.748, 0.587, 0.214, 0.253, 0.099, 30, 4.6, 0.86, 1.7e+02, 30, 4.6, -0.74, 1.7e+02, 30, 4.2, -1.9, 1.6e+02, 1.7e+02
481, -0.34, -0.202, -0.162, 0.748, 0.581, 0.228, 0.272, 0.429, 30, 4.3, -1.2, 1.6e+02, 30, 4.5, -0.42, 1.7e+02, 30, 3.2, -2.5, 1.3e+02, 1.5e+02
408, -0.34, -0.0445, -0.269, 0.504, 0.581, 0.134, 0.272, 0.303, 23, 1.9, -2.8, 96, 23, 1.6, -2.8, 89, 24, 1.7, -2.8, 91, 92
408, -0.34, -0.179, -0.315, 0.676, 0.464, 0.193, 0.33, 0.108, 26, 5.1, 2.9, 1.9e+02, 29, 5.8, 2.9, 2.1e+02, 30, 6.5, 1.2, 2.3e+02, 2.1e+02
587, -0.34, -0.1, -0.174, 0.748, 0.587, 0.228, 0.272, 0.099, 30, 3.9, 1.4, 1.5e+02, 30, 4, 0.88, 1.5e+02, 30, 4, 0.82, 1.5e+02, 1.5e+02
482, -0.378, -0.0766, -0.174, 0.78, 0.587, 0.228, 0.253, 0.099, 30, 4, 1.3, 1.5e+02, 30, 4.2, 0.15, 1.6e+02, 25, 1.5, -2.8, 87, 1.3e+02
587, -0.25, -0.1, -0.174, 0.78, 0.587, 0.193, 0.176, 0.099, 30, 2.7, 0.83, 1.1e+02, 30, 2.7, 0.52, 1.1e+02, 30, 2.8, 0.42, 1.1e+02, 1.1e+02
482, -0.34, -0.202, -0.339, 0.78, 0.662, 0.214, 0.33, 0.099, 1.7, -0.34, -0.083, 6.2, 1.6, -0.34, 0.046, 6, 1.5, -0.35, 0.01, 6, 6.1
408, -0.378, -0.4, -0.269, 0.676, 0.581, 0.0944, 0.253, 0.108, 4.3, 0.66, -0.34, 26, 3, 0.66, -0.029, 24, 7.5, 0.26, -0.78, 22, 24
482, -0.34, -0.0445, -0.315, 0.78, 0.587, 0.134, 0.272, 0.303, 30, 2, 0.19, 90, 30, 1.9, 0.48, 88, 30, 1.9, 0.39, 88, 89
482, -0.378, -0.0766, -0.0291, 0.78, 0.587, 0.125, 0.272, 0.099, 30, 4.8, 0.59, 1.7e+02, 30, 5, -1.2, 1.8e+02, 30, 5, 0.66, 1.8e+02, 1.8e+02
408, -0.378, -0.0938, -0.266, 0.728, 0.563, 0.214, 0.272, 0.099, 27, 2.1, 2.9, 1e+02, 30, 4.9, -0.0072, 1.8e+02, 30, 4.9, -0.67, 1.8e+02, 1.5e+02
587, -0.34, -0.0766, -0.174, 0.78, 0.58, 0.228, 0.253, 0.108, 30, 3.7, 0.067, 1.4e+02, 30, 3.4, 1.6, 1.4e+02, 30, 3.7, 0.58, 1.4e+02, 1.4e+02
408, -0.378, -0.0766, -0.174, 0.748, 0.587, 0.214, 0.272, 0.108, 30, -0.083, 1.8, 49, 30, 0.61, 0.038, 49, 30, 0.52, 0.18, 47, 48
482, -0.378, -0.0938, -0.266, 0.728, 0.58, 0.228, 0.253, 0, 30, 5.3, 0.4, 1.9e+02, 30, 5.1, -1.4, 1.9e+02, 30, 5.3, -0.83, 1.9e+02, 1.9e+02
482, -0.34, -0.1, -0.174, 0.748, 0.587, 0.214, 0.253, 0.099, 30, 4, 0.082, 1.5e+02, 30, 2.8, -2.7, 1.3e+02, 30, 4, -0.35, 1.5e+02, 1.4e+02
587, -0.378, -0.202, -0.174, 0.78, 0.587, 0.228, 0.272, 0.099, 30, 4.6, -0.98, 1.7e+02, 30, 4.5, -1.5, 1.7e+02, 30, 4.2, 2.2, 1.6e+02, 1.7e+02
481, -0.34, -0.202, -0.162, 0.676, 0.581, 0.228, 0.33, 0.429, 25, 1.6, -2.8, 90, 30, 4.5, -0.89, 1.7e+02, 25, 1.6, -2.8, 91, 1.2e+02
481, -0.34, -0.202, -0.266, 0.748, 0.587, 0.193, 0.272, 0.099, 26, 3.2, -2.8, 1.3e+02, 30, 4.9, -0.49, 1.8e+02, 21, 1.9, -2.8, 94, 1.3e+02
482, -0.378, -0.0766, -0.174, 0.748, 0.662, 0.193, 0.272, 0.099, 30, 4, -1.8, 1.5e+02, 27, 2.7, -2.8, 1.2e+02, 30, 4.3, -1, 1.6e+02, 1.5e+02
482, -0.25, -0.1, -0.266, 0.676, 0.587, 0.228, 0.33, 0.099, 30, 1.1, -2.4, 79, 30, 3.3, -1.6, 1.3e+02, 30, 3, -1.9, 1.3e+02, 1.1e+02
408, -0.378, -0.1, -0.266, 0.728, 0.563, 0.214, 0.253, 0.099, 30, 4.5, 0.96, 1.7e+02, 30, 3.6, 2.3, 1.5e+02, 28, 4, -2.8, 1.6e+02, 1.6e+02
587, -0.34, -0.0766, -0.174, 0.78, 0.58, 0.228, 0.272, 0.099, 30, 3.5, 1.5, 1.4e+02, 30, 3.7, 0.22, 1.4e+02, 30, 3.3, 1.8, 1.4e+02, 1.4e+02
587, -0.34, -0.202, -0.174, 0.78, 0.581, 0.214, 0.213, 0.429, 30, 4.7, -0.67, 1.7e+02, 30, 4.7, 1.1, 1.7e+02, 29, 4, 2.9, 1.6e+02, 1.7e+02
481, -0.34, -0.0766, -0.162, 0.748, 0.563, 0.228, 0.272, 0.099, 30, 3.7, -0.65, 1.4e+02, 30, 1.8, -2.8, 1e+02, 30, 3.7, -0.77, 1.4e+02, 1.3e+02
482, -0.378, -0.1, -0.266, 0.748, 0.58, 0.214, 0.272, 0.108, 30, 4, -1.6, 1.5e+02, 23, 1.8, -2.8, 94, 29, 4.3, -2.8, 1.7e+02, 1.4e+02
408, -0.378, -0.202, -0.174, 0.676, 0.587, 0.228, 0.253, 0.099, 30, 1.5, 2, 87, 30, 0.63, 0.18, 50, 30, -0.91, 1.2, 46, 61
482, -0.378, -0.0766, -0.0291, 0.78, 0.587, 0.125, 0.272, 0, 24, 1.7, 2.9, 91, 30, 4.9, -0.3, 1.8e+02, 30, 5, 0.051, 1.8e+02, 1.5e+02
482, -0.378, -0.0938, -0.266, 0.728, 0.587, 0.214, 0.33, 0.099, 30, 4.7, -2.5, 1.8e+02, 20, 2.3, -2.8, 1e+02, 21, 2.6, -2.8, 1.1e+02, 1.3e+02
482, -0.378, -0.202, -0.174, 0.748, 0.587, 0.214, 0.272, 0.099, 30, 4.8, 0.13, 1.7e+02, 27, 3.4, 2.9, 1.4e+02, 30, 4.4, 1.3, 1.6e+02, 1.6e+02
482, -0.378, -0.202, -0.174, 0.748, 0.587, 0.228, 0.272, 0.099, 30, 4.9, 0.36, 1.8e+02, 29, 3.1, -2.8, 1.3e+02, 30, 4.7, 0.58, 1.7e+02, 1.6e+02
482, -0.378, -0.0938, -0.266, 0.748, 0.587, 0.214, 0.253, 0.108, 28, 2, 2.9, 1e+02, 30, 5.4, -0.2, 1.9e+02, 30, 5.2, 0.5, 1.9e+02, 1.6e+02
408, -0.378, -0.202, -0.174, 0.728, 0.58, 0.228, 0.272, 0.099, 30, 0.52, -0.26, 47, 30, -0.24, -0.38, 36, 30, 2.1, 2.5, 1e+02, 62
482, -0.34, -0.0766, -0.174, 0.78, 0.563, 0.214, 0.33, 0.099, 30, 3.1, -2.4, 1.3e+02, 30, 2.8, 2.3, 1.2e+02, 30, 2.3, 2.4, 1.1e+02, 1.2e+02
587, -0.378, -0.0766, -0.0291, 0.78, 0.587, 0.125, 0.272, 0.099, 30, 1.8, 1.8, 92, 30, 2.4, 1.1, 1.1e+02, 30, 2.6, 0.63, 1.1e+02, 1e+02
587, -0.34, -0.0445, -0.174, 0.504, 0.587, 0.214, 0.272, 0.108, 30, 3.5, 0.31, 1.4e+02, 30, 2.6, 2, 1.1e+02, 30, 3.1, 1.7, 1.3e+02, 1.3e+02
481, -0.34, -0.202, -0.174, 0.748, 0.587, 0.193, 0.272, 0.099, 30, 4.2, -1, 1.6e+02, 30, 4.5, -0.69, 1.7e+02, 28, 2.8, 2.9, 1.2e+02, 1.5e+02
482, -0.378, -0.202, -0.266, 0.676, 0.587, 0.228, 0.33, 0.099, 30, 5.7, -1.3, 2e+02, 30, 4, 2.8, 1.6e+02, 30, 5.7, 0.61, 2e+02, 1.9e+02
482, -0.378, -0.202, -0.0291, 0.748, 0.301, 0.214, 0.33, 0.099, 30, 2.4, 0.31, 1e+02, 30, 3, -0.98, 1.2e+02, 30, 2.6, -1.4, 1.1e+02, 1.1e+02
482, -0.378, -0.0766, -0.174, 0.676, 0.587, 0.125, 0.272, 0.108, 30, 3.9, 0.41, 1.5e+02, 30, 3.5, 1.5, 1.4e+02, 30, 3.7, 1.2, 1.4e+02, 1.4e+02
482, -0.378, -0.0766, -0.162, 0.748, 0.587, 0.228, 0.253, 0.099, 30, 4.1, -0.13, 1.5e+02, 30, 3.5, -2.1, 1.4e+02, 30, 4.1, -0.6, 1.5e+02, 1.5e+02
482, -0.378, -0.0766, -0.0291, 0.78, 0.581, 0.125, 0.272, 0, 30, -0.35, -0.43, 37, 30, -0.18, -1.3, 44, 26, 2.7, -2.8, 1.2e+02, 66
408, -0.378, -0.0938, -0.315, 0.728, 0.58, 0.228, 0.253, 0.108, 1.4, -0.31, 0.12, 5.7, 1.3, -0.33, 0.069, 5.7, 1.3, -0.35, 0.051, 5.8, 5.7
408, -0.34, -0.179, -0.266, 0.676, 0.464, 0.193, 0.33, 0.108, 30, -0.95, 1.1, 45, 30, 5, -0.71, 1.8e+02, 20, 1.1, 2.8, 73, 1e+02
587, -0.34, -0.1, -0.174, 0.748, 0.587, 0.214, 0.213, 0.099, 30, 4, 1.1, 1.5e+02, 30, 3.9, 0.86, 1.5e+02, 30, 3.9, 0.73, 1.5e+02, 1.5e+02
482, -0.34, -0.202, -0.174, 0.78, 0.581, 0.214, 0.253, 0.429, 30, 4.1, -1.5, 1.6e+02, 30, 4.7, 0.19, 1.7e+02, 26, 1.3, -2.8, 83, 1.4e+02
587, -0.378, -0.0938, -0.174, 0.728, 0.301, 0.214, 0.213, 0.099, 30, 4.2, 0.88, 1.6e+02, 30, 3.5, -1.7, 1.4e+02, 30, 4, -0.41, 1.5e+02, 1.5e+02
482, -0.34, -0.1, -0.266, 0.78, 0.587, 0.214, 0.33, 0.099, 28, 3.4, -2.8, 1.4e+02, 24, 2.8, -2.8, 1.2e+02, 22, 2.4, -2.8, 1.1e+02, 1.2e+02
482, -0.34, -0.0938, -0.266, 0.78, 0.656, 0.214, 0.33, 0.099, 30, 3.9, -1.9, 1.5e+02, 30, 4, -1.9, 1.5e+02, 28, 3.6, 2.8, 1.5e+02, 1.5e+02
587, -0.378, -0.1, -0.174, 0.728, 0.587, 0.214, 0.213, 0.099, 30, 4.5, 1.3, 1.7e+02, 30, 4.4, 1.1, 1.7e+02, 30, 4.6, 0.76, 1.7e+02, 1.7e+02
587, -0.34, -0.0938, -0.174, 0.728, 0.587, 0.228, 0.272, 0.099, 30, 3.9, 0.99, 1.5e+02, 30, 4, 0.59, 1.5e+02, 30, 4, 0.25, 1.5e+02, 1.5e+02
482, -0.378, -0.0766, -0.266, 0.78, 0.58, 0.214, 0.253, 0, 29, 3.6, -2.8, 1.5e+02, 30, 5, 1, 1.8e+02, 30, 5, -1.3, 1.8e+02, 1.7e+02
587, -0.34, -0.0766, -0.174, 0.78, 0.587, 0.214, 0.272, 0.099, 30, 3.5, 1.5, 1.4e+02, 30, 3.7, 0.18, 1.4e+02, 30, 3.6, 1.1, 1.4e+02, 1.4e+02
587, -0.34, -0.0766, -0.174, 0.78, 0.587, 0.214, 0.272, 0.099, 30, 3.7, 0.45, 1.4e+02, 30, 3.7, 0.4, 1.4e+02, 30, 3.7, 0.78, 1.4e+02, 1.4e+02
482, -0.378, -0.202, -0.174, 0.748, 0.581, 0.214, 0, 0.429, 30, 4.5, -0.82, 1.7e+02, 24, 2.7, -2.8, 1.2e+02, 30, 4.9, -0.058, 1.8e+02, 1.5e+02
481, -0.34, -0.202, -0.162, 0.748, 0.587, 0.228, 0.272, 0.099, 30, 3.9, -2, 1.5e+02, 30, 4, -1.9, 1.6e+02, 30, 4.4, -0.36, 1.6e+02, 1.6e+02
587, -0.34, -0.0766, -0.174, 0.78, 0.301, 0.214, 0.33, 0.099, 30, -0.15, -2, 51, 30, 2.5, -1.9, 1.1e+02, 30, 3.2, -1.2, 1.3e+02, 97
482, -0.378, -0.0766, -0.174, 0.748, 0.587, 0.214, 0.33, 0.108, 30, 4.3, 0.19, 1.6e+02, 27, 2.5, -2.8, 1.2e+02, 30, 4.3, -0.31, 1.6e+02, 1.5e+02
408, -0.34, -0.179, -0.315, 0.676, 0.464, 0.193, 0.272, 0.099, 30, 5.7, -1.2, 2e+02, 30, 6.2, 2.4, 2.2e+02, 30, 6.1, 1.9, 2.2e+02, 2.1e+02
482, -0.378, -0.0938, -0.266, 0.728, 0.587, 0.214, 0.33, 0.099, 24, 2.9, -2.8, 1.2e+02, 29, 4.6, -2.8, 1.8e+02, 30, 4.9, -2.3, 1.8e+02, 1.6e+02
587, -0.378, -0.1, -0.174, 0.728, 0.587, 0.214, 0.213, 0.099, 30, 4.2, 2, 1.6e+02, 30, 4.5, 0.38, 1.7e+02, 30, 4.5, 0.68, 1.7e+02, 1.6e+02
587, -0.34, -0.1, -0.174, 0.748, 0.563, 0.214, 0.272, 0.099, 30, 4.2, -0.011, 1.6e+02, 30, 4.1, 0.31, 1.5e+02, 30, 4.2, 0.061, 1.6e+02, 1.5e+02
587, -0.34, -0.1, -0.174, 0.78, 0.587, 0.228, 0.253, 0.099, 30, 3.9, 0.66, 1.5e+02, 30, 4, 0.39, 1.5e+02, 30, 4, 0.43, 1.5e+02, 1.5e+02
408, -0.378, -0.0766, -0.266, 0.78, 0.7, 0.228, 0.253, 0.099, 30, -0.077, 0.74, 38, 30, -0.3, 0.33, 36, 30, 1, 0.22, 62, 45
482, -0.378, -0.1, -0.0291, 0.728, 0.587, 0.125, 0.272, 0, 30, -0.23, -0.23, 34, 30, -0.36, -2.1, 53, 29, 2, -2.8, 1e+02, 64
482, -0.378, -0.1, -0.266, 0.728, 0.587, 0.214, 0.253, 0.099, 30, 4.9, -2, 1.8e+02, 30, 5.1, -1.6, 1.9e+02, 26, 3.6, -2.8, 1.4e+02, 1.7e+02
408, -0.378, -0.0938, -0.266, 0.728, 0.563, 0.214, 0.33, 0.099, 30, 4.4, -2.1, 1.7e+02, 30, 4.6, 1.6, 1.7e+02, 26, 3.3, -2.8, 1.4e+02, 1.6e+02
482, -0.378, -0.0766, 0, 0.78, 0.587, 0.5, 0.272, 0.099, 1.1, 0.43, 0.075, 15, 1.1, 0.44, 0.086, 15, 1.1, 0.42, 0.072, 15, 15
408, -0.34, -0.0938, -0.266, 0.728, 0.563, 0.214, 0.272, 0.429, 30, -0.00039, 1.7, 48, 25, 1.8, -2.8, 95, 27, 2.4, 2.9, 1.1e+02, 86
587, -0.378, -0.202, -0.174, 0.78, 0.581, 0.214, 0.213, 0.099, 2.8, 0.091, 0.53, 11, 3.7, 0.13, -0.43, 12, 30, 4.7, -0.052, 1.7e+02, 65
482, -0.378, -0.202, -0.266, 0.676, 0.587, 0.228, 0.253, 0.099, 18, 1.9, -2.8, 90, 30, 5.6, -1.2, 2e+02, 30, 5.7, -1.2, 2e+02, 1.6e+02
