3.54, 0.225, 0.326
3.56, 0.222, 0.329
3.57, 0.218, 0.328
3.59, 0.214, 0.32
3.6, 0.212, 0.316
3.62, 0.214, 0.318
3.63, 0.218, 0.323
3.65, 0.223, 0.327
3.66, 0.228, 0.326
3.68, 0.233, 0.319
3.69, 0.235, 0.317
3.7, 0.234, 0.32
3.72, 0.231, 0.324
3.73, 0.227, 0.327
3.75, 0.223, 0.326
3.77, 0.219, 0.318
3.78, 0.218, 0.317
3.79, 0.22, 0.32
3.81, 0.225, 0.325
3.82, 0.23, 0.329
3.84, 0.237, 0.327
3.85, 0.243, 0.32
3.87, 0.248, 0.315
3.88, 0.249, 0.318
3.89, 0.248, 0.323
3.91, 0.245, 0.327
3.92, 0.242, 0.327
3.94, 0.239, 0.321
3.95, 0.239, 0.317
3.96, 0.242, 0.319
3.98, 0.247, 0.324
3.99, 0.253, 0.328
4, 0.259, 0.327
4.02, 0.265, 0.321
4.03, 0.268, 0.318
4.05, 0.268, 0.321
4.06, 0.266, 0.326
4.07, 0.262, 0.329
4.09, 0.258, 0.328
4.1, 0.254, 0.322
4.12, 0.252, 0.318
4.13, 0.254, 0.32
4.15, 0.258, 0.325
4.16, 0.264, 0.328
4.18, 0.27, 0.327
4.2, 0.276, 0.32
4.21, 0.281, 0.316
4.22, 0.281, 0.319
4.24, 0.28, 0.324
4.25, 0.278, 0.327
4.27, 0.275, 0.326
4.29, 0.273, 0.319
4.3, 0.273, 0.317
4.31, 0.277, 0.32
4.33, 0.282, 0.324
4.34, 0.288, 0.327
4.36, 0.295, 0.326
4.37, 0.302, 0.318
4.39, 0.305, 0.316
4.4, 0.305, 0.319
4.41, 0.303, 0.324
4.43, 0.3, 0.328
4.44, 0.297, 0.327
4.46, 0.294, 0.319
4.48, 0.293, 0.316
4.49, 0.296, 0.319
4.5, 0.3, 0.324
4.52, 0.306, 0.327
4.53, 0.313, 0.326
4.55, 0.319, 0.319
4.56, 0.323, 0.316
4.58, 0.323, 0.32
4.59, 0.321, 0.324
4.61, 0.318, 0.328
4.62, 0.315, 0.326
4.64, 0.312, 0.319
4.65, 0.312, 0.316
4.67, 0.315, 0.319
4.68, 0.321, 0.324
4.7, 0.327, 0.327
4.71, 0.334, 0.326
4.73, 0.341, 0.318
4.74, 0.345, 0.315
4.75, 0.345, 0.319
4.77, 0.343, 0.324
4.78, 0.341, 0.327
4.8, 0.338, 0.326
4.81, 0.335, 0.318
4.83, 0.335, 0.316
4.84, 0.338, 0.319
4.85, 0.344, 0.324
4.87, 0.351, 0.328
4.88, 0.358, 0.326
4.9, 0.364, 0.318
4.91, 0.369, 0.316
4.92, 0.37, 0.319
4.94, 0.369, 0.324
4.95, 0.367, 0.327
4.97, 0.365, 0.326
4.98, 0.363, 0.319
5, 0.363, 0.316
5.01, 0.366, 0.319
5.03, 0.372, 0.324
5.04, 0.378, 0.327
5.05, 0.385, 0.326
5.07, 0.392, 0.318
5.08, 0.395, 0.316
5.1, 0.396, 0.319
5.11, 0.394, 0.323
5.13, 0.392, 0.327
5.14, 0.389, 0.326
5.16, 0.387, 0.319
5.17, 0.387, 0.316
5.19, 0.39, 0.319
5.2, 0.395, 0.324
5.22, 0.402, 0.327
5.23, 0.409, 0.326
5.25, 0.416, 0.318
5.26, 0.42, 0.315
5.27, 0.42, 0.319
5.29, 0.419, 0.323
5.31, 0.416, 0.326
5.32, 0.414, 0.325
5.34, 0.411, 0.317
5.35, 0.411, 0.314
5.37, 0.414, 0.318
5.38, 0.419, 0.323
5.39, 0.426, 0.326
5.41, 0.433, 0.325
5.42, 0.44, 0.318
5.43, 0.444, 0.315
5.45, 0.444, 0.319
5.46, 0.443, 0.324
5.48, 0.44, 0.328
5.49, 0.437, 0.327
5.51, 0.435, 0.32
5.52, 0.434, 0.316
5.53, 0.437, 0.319
5.55, 0.442, 0.324
5.56, 0.448, 0.328
5.57, 0.455, 0.327
5.59, 0.461, 0.32
5.6, 0.465, 0.318
5.62, 0.466, 0.321
5.63, 0.464, 0.325
5.65, 0.462, 0.329
5.66, 0.459, 0.327
5.68, 0.456, 0.32
5.69, 0.456, 0.316
5.71, 0.459, 0.319
5.72, 0.465, 0.324
5.74, 0.472, 0.327
5.75, 0.479, 0.326
5.77, 0.486, 0.318
5.78, 0.492, 0.314
5.8, 0.494, 0.317
5.81, 0.494, 0.323
5.83, 0.493, 0.327
5.84, 0.491, 0.326
5.86, 0.49, 0.32
5.87, 0.489, 0.315
5.88, 0.492, 0.318
5.9, 0.497, 0.324
5.91, 0.503, 0.328
5.92, 0.509, 0.327
5.94, 0.516, 0.32
5.95, 0.52, 0.317
5.97, 0.521, 0.32
5.98, 0.519, 0.324
5.99, 0.516, 0.328
6.01, 0.514, 0.327
6.03, 0.511, 0.32
6.04, 0.511, 0.317
6.05, 0.514, 0.321
6.07, 0.519, 0.326
6.08, 0.526, 0.329
6.09, 0.533, 0.328
6.11, 0.541, 0.321
6.12, 0.546, 0.316
6.14, 0.547, 0.319
6.15, 0.547, 0.323
6.17, 0.545, 0.327
6.18, 0.543, 0.326
6.2, 0.542, 0.319
6.22, 0.543, 0.316
6.23, 0.547, 0.32
6.24, 0.554, 0.324
6.26, 0.562, 0.327
6.27, 0.569, 0.325
6.29, 0.577, 0.317
6.3, 0.583, 0.315
6.32, 0.584, 0.319
6.33, 0.584, 0.324
