T, A, B, Oc, C, Oj, tj, Dp, Dn, t1, d1, s1, t2, d2, s2, t3, d3, s3, savg
358, -0.22, -0.194, -0.0783, 0.414, 0.493, 0.13, 0.229, 0.233, 20, 2.4, 92, 20, 2.4, 93, 20, 2.4, 92, 92
358, -0.138, -0.194, -0.0783, 0.727, 0.201, 0.13, 0.436, 0.449, 20, 1.5, 65, 20, 1.4, 63, 20, 1.4, 63, 64
358, -0.22, -0.194, -0.0783, 0.414, 0.201, 0.13, 0.436, 0.335, 20, 3, 1.1e+02, 20, 3, 1.1e+02, 20, 3, 1.1e+02, 1.1e+02
267, -0.138, -0.247, -0.252, 0.538, 0.523, 0.229, 0.201, 0.123, 15, 3.1, 1.1e+02, 15, 3.1, 1.1e+02, 14, 3.1, 1.1e+02, 1.1e+02
358, -0.22, -0.247, -0.0783, 0.414, 0.204, 0.229, 0.436, 0.335, 6.8, 0.36, 19, 10, 0.5, 26, 15, 1.7, 67, 37
358, -0.22, -0.194, -0.0783, 0.414, 0.645, 0.13, 0.436, 0.0719, 20, 1.6, 70, 20, 1.9, 78, 20, 1.9, 77, 75
358, -0.22, -0.194, -0.252, 0.414, 0.201, 0.13, 0.229, 0.335, 1.1, 0, 2.2, 1.1, 0, 2.1, 1.1, 0, 2.2, 2.1
267, -0.138, -0.194, -0.254, 0.414, 0.493, 0.13, 0.414, 0.449, 17, 3.1, 1.1e+02, 17, 3, 1.1e+02, 17, 3.1, 1.1e+02, 1.1e+02
358, -0.22, -0.194, -0.0783, 0.414, 0.201, 0.13, 0.367, 0.335, 19, 3, 1.1e+02, 20, 3, 1.1e+02, 20, 3.1, 1.1e+02, 1.1e+02
267, -0.138, -0.194, -0.252, 0.414, 0.523, 0.13, 0.436, 0.0719, 17, 3.1, 1.1e+02, 17, 3.1, 1.1e+02, 17, 3.1, 1.1e+02, 1.1e+02
358, -0.138, -0.247, -0.252, 0.727, 0.645, 0.13, 0.229, 0, 20, 1.5, 66, 20, 1.5, 66, 20, 1.5, 67, 66
358, -0.22, -0.194, -0.0783, 0.414, 0.201, 0.13, 0.436, 0.0719, 20, 2.3, 90, 20, 2.3, 89, 20, 2.4, 92, 90
358, -0.22, -0.194, -0.252, 0.414, 0.645, 0.13, 0.229, 0.233, 18, 3.1, 1.1e+02, 8.4, 1.1, 41, 20, 2.2, 86, 79
267, -0.138, -0.336, -0.0783, 0.538, 0.523, 0.13, 0.201, 0.0719, 1.9, 0.46, 17, 20, 1.2, 57, 17, 1.3, 57, 43
267, -0.138, -0.194, -0.254, 0.538, 0.493, 0.229, 0.125, 0.13, 20, 3.1, 1.1e+02, 18, 3.1, 1.1e+02, 18, 3.1, 1.1e+02, 1.1e+02
358, -0.22, -0.247, -0.0783, 0.414, 0.523, 0.229, 0.414, 0.335, 20, 0.075, 23, 20, 0.54, 37, 20, 0.19, 27, 29
267, -0.0707, -0.194, -0.252, 0.538, 0.523, 0.13, 0.125, 0.0719, 20, 1.6, 68, 20, 1.8, 75, 20, 1.8, 75, 73
267, -0.22, -0.194, -0.0783, 0.414, 0.523, 0.229, 0.436, 0.233, 2, 0.35, 13, 2.5, 0.46, 17, 2.5, 0.45, 17, 16
358, -0.138, -0.194, -0.248, 0.727, 0.201, 0.13, 0.201, 0.5, 1.4, 0, 2.3, 20, 0.23, 28, 20, 0.26, 29, 20
267, -0.138, -0.336, -0.254, 0.727, 0.523, 0.13, 0.201, 0.13, 15, 3, 1.1e+02, 15, 3.1, 1.1e+02, 15, 3.1, 1.1e+02, 1.1e+02
267, -0.138, -0.39, -0.254, 0.538, 0.523, 0.229, 0.125, 0.233, 15, 3.1, 1.1e+02, 14, 3.1, 1.1e+02, 14, 3.1, 1.1e+02, 1.1e+02
267, -0.138, -0.39, -0.254, 0.727, 0.523, 0.13, 0.201, 0.0719, 15, 3, 1.1e+02, 15, 3, 1.1e+02, 15, 3, 1.1e+02, 1.1e+02
267, -0.138, -0.39, -0.252, 0.727, 0.493, 0.229, 0.229, 0.233, 14, 3.1, 1.1e+02, 14, 3.1, 1.1e+02, 14, 3, 1.1e+02, 1.1e+02
358, -0.22, -0.194, -0.0783, 0.727, 0.523, 0.13, 0.201, 0.335, 20, 2.5, 97, 20, 2.6, 1e+02, 20, 2.7, 1e+02, 1e+02
267, -0.138, -0.247, -0.252, 0.414, 0.523, 0.13, 0.201, 0.233, 16, 3.1, 1.1e+02, 16, 3.1, 1.1e+02, 16, 3.1, 1.1e+02, 1.1e+02
358, -0.138, -0.39, -0.254, 0.727, 0.645, 0.13, 0.229, 0.449, 20, 2, 82, 20, 2.1, 83, 20, 2.1, 83, 83
267, -0.22, -0.194, -0.254, 0.727, 0.523, 0.13, 0.436, 0.233, 14, 3.1, 1.1e+02, 14, 3.1, 1.1e+02, 15, 3.1, 1.1e+02, 1.1e+02
267, -0.138, -0.39, -0.254, 0.414, 0.523, 0, 0.201, 0.233, 3.2, 0.27, 12, 3.2, 0, 4.2, 3, 0.16, 8.7, 8.4
358, -0.22, -0.247, -0.252, 0.538, 0.523, 0.229, 0.436, 0.335, 20, 2.8, 1.1e+02, 19, 3.1, 1.1e+02, 20, 2.4, 93, 1e+02
267, -0.22, -0.194, -0.254, 0.414, 0.523, 0.229, 0.125, 0.335, 12, 3.1, 1.1e+02, 12, 3.1, 1.1e+02, 13, 3.1, 1.1e+02, 1.1e+02
267, -0.138, -0.194, -0.252, 0.727, 0.523, 0.13, 0.201, 0, 20, 2.5, 96, 20, 2.5, 95, 20, 2.3, 91, 94
267, -0.138, -0.39, -0.254, 0.414, 0.493, 0.13, 0.436, 0.233, 2.2, 0.62, 22, 3, 0.68, 24, 2.1, 0.48, 18, 21
267, -0.138, -0.39, -0.252, 0.727, 0.523, 0.229, 0.201, 0.233, 14, 3.1, 1.1e+02, 14, 3, 1.1e+02, 14, 3.1, 1.1e+02, 1.1e+02
267, -0.138, -0.39, -0.254, 0.727, 0.493, 0.13, 0.229, 0.0719, 14, 3.1, 1.1e+02, 14, 3, 1.1e+02, 14, 3.1, 1.1e+02, 1.1e+02
358, -0.138, -0.247, -0.252, 0.414, 0.523, 0.13, 0.125, 0.123, 20, 2.2, 86, 20, 2.1, 85, 20, 2.2, 87, 86
267, -0.138, -0.194, -0.252, 0.538, 0.493, 0.229, 0.201, 0.449, 17, 3.1, 1.1e+02, 18, 3.1, 1.1e+02, 18, 3.1, 1.1e+02, 1.1e+02
358, -0.22, -0.194, -0.0783, 0.538, 0.493, 0.229, 0.125, 0, 20, 0.067, 23, 20, 0.34, 31, 20, 0.44, 34, 29
267, -0.138, -0.194, -0.254, 0.414, 0.201, 0.13, 0.436, 0.13, 1.1, 0, 2.1, 1.1, 0, 2.2, 1.1, 0, 2.2, 2.1
267, -0.138, -0.39, -0.252, 0.727, 0.493, 0.229, 0.229, 0.0719, 14, 3.1, 1.1e+02, 14, 3.1, 1.1e+02, 14, 3.1, 1.1e+02, 1.1e+02
267, -0.138, -0.39, -0.254, 0.727, 0.523, 0.229, 0.201, 0.449, 14, 3, 1.1e+02, 14, 3.1, 1.1e+02, 14, 3.1, 1.1e+02, 1.1e+02
267, -0.138, -0.194, -0.0783, 0.78, 0.493, 0.13, 0.125, 0.13, 20, 2.2, 86, 20, 1.7, 73, 20, 1.3, 61, 73
358, -0.22, -0.194, -0.254, 0.414, 0.201, 0.229, 0.436, 0.335, 1.1, 0, 2.1, 1.1, 0, 2.1, 1.1, 0, 2.1, 2.1
267, -0.22, -0.194, -0.254, 0.727, 0.523, 0.229, 0.201, 0.335, 14, 3.1, 1.1e+02, 14, 3.1, 1.1e+02, 14, 3.1, 1.1e+02, 1.1e+02
267, -0.138, -0.39, -0.254, 0.414, 0.523, 0.229, 0.201, 0.449, 13, 2.2, 78, 8.4, 1.4, 50, 14, 3.1, 1.1e+02, 78
267, -0.138, -0.39, -0.252, 0.727, 0.493, 0.229, 0.436, 0, 14, 3.1, 1.1e+02, 14, 3.1, 1.1e+02, 14, 3.1, 1.1e+02, 1.1e+02
267, -0.138, -0.194, -0.252, 0.727, 0.523, 0.13, 0.229, 0.233, 20, 3.1, 1.1e+02, 20, 3.1, 1.1e+02, 20, 3.1, 1.1e+02, 1.1e+02
267, -0.22, -0.194, -0.254, 0.414, 0.493, 0.13, 0.201, 0.449, 7.1, 0.58, 26, 6.3, 0.73, 29, 12, 3.1, 1.1e+02, 53
267, -0.138, -0.194, -0.254, 0.414, 0.523, 0.13, 0.414, 0.335, 17, 3.1, 1.1e+02, 17, 3.1, 1.1e+02, 17, 3.1, 1.1e+02, 1.1e+02
358, -0.138, -0.194, -0.0783, 0.414, 0.523, 0.13, 0.125, 0.0719, 20, 1.7, 73, 20, 1.7, 73, 20, 1.7, 73, 73
358, -0.22, -0.39, -0.254, 0.727, 0.201, 0.229, 0.436, 0.335, 1.1, 0, 2.1, 1.1, 0, 2.1, 1.1, 0, 2.1, 2.1
267, -0.138, -0.194, -0.0783, 0.414, 0.523, 0.13, 0.201, 0.449, 20, 2.4, 92, 20, 2.3, 90, 20, 2.3, 90, 91
267, -0.138, -0.194, -0.254, 0.414, 0.523, 0.229, 0.414, 0.335, 18, 3.1, 1.1e+02, 17, 3.1, 1.1e+02, 17, 3.1, 1.1e+02, 1.1e+02
267, -0.22, -0.194, -0.254, 0.414, 0.523, 0.13, 0.125, 0.335, 13, 3.1, 1.1e+02, 12, 3.1, 1.1e+02, 13, 3.1, 1.1e+02, 1.1e+02
267, -0.138, -0.194, -0.254, 0.538, 0.493, 0.229, 0.125, 0.13, 18, 3.1, 1.1e+02, 18, 3.1, 1.1e+02, 18, 3.1, 1.1e+02, 1.1e+02
267, -0.138, -0.39, -0.252, 0.727, 0.493, 0.229, 0.229, 0.0719, 14, 3, 1.1e+02, 14, 3.1, 1.1e+02, 14, 3.1, 1.1e+02, 1.1e+02
267, -0.22, -0.194, -0.254, 0.414, 0.523, 0.229, 0.436, 0.233, 12, 3.1, 1.1e+02, 12, 3.1, 1.1e+02, 12, 3.1, 1.1e+02, 1.1e+02
358, -0.22, -0.194, -0.254, 0.414, 0.523, 0.229, 0.436, 0.335, 20, 2.3, 90, 20, 2.1, 84, 20, 2.4, 94, 89
267, -0.138, -0.336, -0.254, 0.414, 0.523, 0.229, 0.201, 0.449, 15, 3.1, 1.1e+02, 14, 3, 1.1e+02, 14, 3.1, 1.1e+02, 1.1e+02
267, -0.138, -0.39, -0.254, 0.727, 0.523, 0.13, 0.201, 0.335, 14, 3.1, 1.1e+02, 14, 3.1, 1.1e+02, 14, 3.1, 1.1e+02, 1.1e+02
267, -0.22, -0.194, -0.254, 0.727, 0.523, 0.13, 0.201, 0, 15, 3.1, 1.1e+02, 15, 3.1, 1.1e+02, 15, 3.1, 1.1e+02, 1.1e+02
267, -0.138, -0.194, -0.252, 0.414, 0.523, 0.13, 0.436, 0.335, 17, 3.1, 1.1e+02, 17, 3.1, 1.1e+02, 17, 3.1, 1.1e+02, 1.1e+02
267, -0.22, -0.39, -0.252, 0.727, 0.523, 0.229, 0.201, 0.233, 12, 3, 1e+02, 12, 3.1, 1.1e+02, 12, 3.1, 1.1e+02, 1e+02
267, -0.138, -0.194, -0.254, 0.414, 0.523, 0.229, 0.201, 0.335, 17, 3.1, 1.1e+02, 17, 3.1, 1.1e+02, 17, 3.1, 1.1e+02, 1.1e+02
358, -0.22, -0.194, -0.0783, 0.414, 0.201, 0.13, 0.436, 0.335, 20, 3.1, 1.1e+02, 20, 2.7, 1e+02, 20, 2.6, 1e+02, 1.1e+02
358, -0.22, -0.194, -0.0783, 0.414, 0.201, 0.13, 0.436, 0.335, 20, 2.9, 1.1e+02, 20, 3.1, 1.1e+02, 20, 3, 1.1e+02, 1.1e+02
267, -0.138, -0.247, -0.252, 0.414, 0.493, 0.13, 0.436, 0.0719, 15, 3, 1.1e+02, 15, 3.1, 1.1e+02, 15, 3, 1.1e+02, 1.1e+02
267, -0.138, -0.39, -0.252, 0.727, 0.493, 0.13, 0.229, 0.233, 14, 3, 1.1e+02, 14, 3.1, 1.1e+02, 14, 3.1, 1.1e+02, 1.1e+02
267, -0.138, -0.39, -0.252, 0.727, 0.523, 0.229, 0.229, 0.0719, 15, 3.1, 1.1e+02, 15, 3.1, 1.1e+02, 15, 3, 1.1e+02, 1.1e+02
267, -0.138, -0.247, -0.252, 0.727, 0.493, 0.229, 0.125, 0.233, 18, 3.1, 1.1e+02, 18, 3.1, 1.1e+02, 18, 3.1, 1.1e+02, 1.1e+02
267, -0.138, -0.39, -0.252, 0.727, 0.523, 0.229, 0.201, 0.233, 14, 3, 1.1e+02, 14, 3.1, 1.1e+02, 14, 3, 1.1e+02, 1.1e+02
267, -0.138, -0.39, -0.254, 0.727, 0.523, 0.229, 0.201, 0.449, 14, 3.1, 1.1e+02, 14, 3.1, 1.1e+02, 14, 3.1, 1.1e+02, 1.1e+02
267, -0.22, -0.194, -0.254, 0.727, 0.523, 0.229, 0.436, 0.335, 15, 3.1, 1.1e+02, 14, 3.1, 1.1e+02, 14, 3.1, 1.1e+02, 1.1e+02
267, -0.22, -0.194, -0.254, 0.414, 0, 0.229, 0.201, 0.335, 0.7, 0, 1.7, 0.7, 0, 1.7, 0.7, 0, 1.7, 1.7
267, -0.22, -0.194, -0.254, 0.727, 0.523, 0.13, 0.201, 0.335, 14, 3.1, 1.1e+02, 14, 3.1, 1.1e+02, 15, 3.1, 1.1e+02, 1.1e+02
267, -0.138, -0.194, -0.254, 0.727, 0.523, 0.13, 0.436, 0.335, 19, 3.1, 1.1e+02, 19, 3.1, 1.1e+02, 19, 3.1, 1.1e+02, 1.1e+02
267, -0.22, -0.194, -0.252, 0.414, 0.523, 0.13, 0.201, 0.0719, 13, 3, 1e+02, 13, 3.1, 1.1e+02, 13, 3.1, 1.1e+02, 1.1e+02
267, -0.138, -0.247, -0.254, 0.414, 0.523, 0.13, 0.201, 0.233, 15, 3.1, 1.1e+02, 16, 3.1, 1.1e+02, 15, 3.1, 1.1e+02, 1.1e+02
267, -0.22, -0.194, -0.252, 0.727, 0.523, 0.13, 0.201, 0, 15, 3.1, 1.1e+02, 15, 3.1, 1.1e+02, 15, 3.1, 1.1e+02, 1.1e+02
267, -0.138, -0.194, -0.254, 0.538, 0.523, 0.229, 0.201, 0.335, 17, 3.1, 1.1e+02, 17, 3.1, 1.1e+02, 17, 3.1, 1.1e+02, 1.1e+02
267, -0.138, -0.194, -0.252, 0.414, 0.493, 0.229, 0.201, 0.449, 17, 3.1, 1.1e+02, 17, 3.1, 1.1e+02, 17, 3, 1.1e+02, 1.1e+02
358, -0.22, -0.194, -0.254, 0.538, 0.201, 0.229, 0.125, 0.233, 1.1, 0, 2.1, 1.1, 0, 2.1, 1.1, 0, 2.1, 2.1
267, -0.138, -0.39, -0.0783, 0.414, 0.523, 0.13, 0.367, 0.335, 2.5, 0.42, 16, 1.8, 0.39, 15, 2.7, 0.39, 15, 15
267, -0.138, -0.194, -0.254, 0.538, 0.493, 0.229, 0.414, 0.13, 19, 3.1, 1.1e+02, 17, 3.1, 1.1e+02, 17, 3.1, 1.1e+02, 1.1e+02
267, -0.138, -0.194, -0.254, 0.414, 0.523, 0.13, 0.125, 0.335, 17, 3.1, 1.1e+02, 18, 3.1, 1.1e+02, 17, 3, 1.1e+02, 1.1e+02
267, -0.138, -0.194, -0.252, 0.538, 0.493, 0.229, 0.201, 0.449, 18, 3.1, 1.1e+02, 17, 3.1, 1.1e+02, 18, 3.1, 1.1e+02, 1.1e+02
267, -0.138, -0.247, -0.252, 0.414, 0.523, 0.13, 0.201, 0.233, 16, 3.1, 1.1e+02, 16, 3.1, 1.1e+02, 15, 3.1, 1.1e+02, 1.1e+02
267, -0.138, -0.194, -0.254, 0.727, 0.493, 0.13, 0.436, 0, 20, 2.5, 97, 20, 2.7, 1e+02, 20, 2.5, 96, 98
267, -0.138, -0.194, -0.252, 0.414, 0.523, 0.13, 0.414, 0.5, 16, 3, 1.1e+02, 17, 3.1, 1.1e+02, 17, 3.1, 1.1e+02, 1.1e+02
267, -0.138, -0.39, -0.254, 0.414, 0.493, 0.229, 0.201, 0.449, 2.8, 0.56, 20, 2.8, 0.57, 21, 3, 0.7, 25, 22
267, -0.138, -0.194, -0.254, 0.727, 0.523, 0.13, 0.414, 0.449, 20, 3.1, 1.1e+02, 19, 3.1, 1.1e+02, 20, 3.1, 1.1e+02, 1.1e+02
267, -0.138, -0.194, -0.252, 0.727, 0, 0.13, 0.229, 0.233, 0.7, 0, 1.7, 0.7, 0, 1.7, 0.7, 0, 1.7, 1.7
267, -0.138, -0.194, -0.252, 0.727, 0.493, 0.13, 0.125, 0.233, 20, 2.4, 94, 20, 2.3, 90, 20, 2.4, 93, 92
267, 0, -0.194, -0.254, 0.538, 0.523, 0.229, 0.229, 0.13, 20, 0.61, 39, 20, 0.84, 46, 20, 0.84, 46, 44
358, -0.22, -0.194, -0.0783, 0.414, 0.201, 0.13, 0.367, 0.335, 20, 3.1, 1.1e+02, 20, 2.5, 96, 20, 3, 1.1e+02, 1.1e+02
267, -0.138, -0.194, -0.254, 0.414, 0.523, 0.229, 0.5, 0.335, 17, 3.1, 1.1e+02, 17, 3.1, 1.1e+02, 17, 3.1, 1.1e+02, 1.1e+02
267, -0.138, -0.194, -0.254, 0.414, 0.523, 0.13, 0.414, 0.335, 17, 3.1, 1.1e+02, 17, 3.1, 1.1e+02, 17, 3.1, 1.1e+02, 1.1e+02
267, -0.22, -0.194, -0.254, 0.727, 0.523, 0.229, 0.414, 0.335, 15, 3.1, 1.1e+02, 15, 3.1, 1.1e+02, 14, 3.1, 1.1e+02, 1.1e+02
267, -0.138, -0.194, -0.254, 0.414, 0.523, 0.13, 0.201, 0.335, 17, 3.1, 1.1e+02, 17, 3.1, 1.1e+02, 17, 3.1, 1.1e+02, 1.1e+02
267, -0.138, -0.247, -0.252, 0.727, 0.493, 0.229, 0.125, 0.233, 18, 3.1, 1.1e+02, 18, 3.1, 1.1e+02, 18, 3.1, 1.1e+02, 1.1e+02
267, 0, -0.194, -0.254, 0, 0.523, 0.229, 0.125, 0.13, 6.1, 0, 7.1, 5, 0, 5.9, 6, 0, 6.9, 6.7
267, -0.138, -0.194, -0.254, 0.727, 0.493, 0.229, 0.125, 0.5, 20, 2.4, 94, 20, 2.5, 97, 20, 2.4, 94, 95
267, -0.138, -0.194, -0.248, 0.538, 0.523, 0.229, 0.201, 0.13, 20, 2.2, 88, 19, 3, 1.1e+02, 17, 3.1, 1.1e+02, 1e+02
358, -0.138, -0.194, -0.252, 0.414, 0.493, 0.229, 0.436, 0.233, 20, 2.1, 84, 20, 2.1, 84, 20, 2.2, 87, 85
267, -0.22, -0.247, -0.0783, 0.727, 0.201, 0.13, 0.125, 0.335, 20, 2.2, 88, 20, 1.3, 61, 20, 1.9, 79, 76
267, -0.138, 0, -0.254, 0.538, 0.523, 0.13, 0.414, 0.335, 20, 0, 21, 20, 0, 21, 20, 0, 21, 21
267, -0.138, -0.194, -0.254, 0.414, 0.493, 0.229, 0.414, 0.13, 17, 3.1, 1.1e+02, 17, 3.1, 1.1e+02, 17, 3.1, 1.1e+02, 1.1e+02
267, -0.138, -0.194, -0.254, 0.727, 0.523, 0.13, 0.125, 0.335, 20, 3, 1.1e+02, 20, 2.9, 1.1e+02, 20, 3, 1.1e+02, 1.1e+02
267, -0.138, -0.39, -0.254, 0.538, 0.523, 0.229, 0.436, 0.233, 14, 3.1, 1.1e+02, 14, 3.1, 1.1e+02, 14, 3.1, 1.1e+02, 1.1e+02
267, -0.138, -0.247, -0.254, 0.727, 0.523, 0.229, 0.125, 0.335, 17, 3.1, 1.1e+02, 17, 3.1, 1.1e+02, 17, 3.1, 1.1e+02, 1.1e+02
267, -0.138, -0.194, -0.252, 0.414, 0.493, 0.229, 0.414, 0.233, 17, 3.1, 1.1e+02, 17, 3.1, 1.1e+02, 17, 3.1, 1.1e+02, 1.1e+02
267, -0.22, -0.247, -0.254, 0.727, 0.523, 0.229, 0.201, 0.335, 12, 3.1, 1.1e+02, 12, 3, 1e+02, 12, 3.1, 1.1e+02, 1.1e+02
267, -0.138, -0.194, -0.252, 0.727, 0.523, 0.229, 0.125, 0.233, 20, 2.8, 1e+02, 20, 2.7, 1e+02, 20, 2.6, 98, 1e+02
358, -0.22, -0.194, -0.254, 0.414, 0.493, 0.229, 0.367, 0.13, 18, 3, 1.1e+02, 19, 3.1, 1.1e+02, 18, 3, 1.1e+02, 1.1e+02
267, -0.138, -0.194, -0.0783, 0.538, 0.201, 0.13, 0.414, 0.335, 20, 1.8, 74, 20, 1.7, 71, 20, 1.7, 71, 72
267, -0.138, -0.39, -0.254, 0.414, 0.493, 0.13, 0.201, 0.0719, 2.8, 0.57, 21, 2.8, 0.55, 20, 3.6, 0, 4.6, 15
267, -0.138, -0.247, -0.254, 0.414, 0.493, 0.13, 0.201, 0.335, 15, 3.1, 1.1e+02, 15, 3.1, 1.1e+02, 15, 3, 1.1e+02, 1.1e+02
267, -0.138, -0.194, -0.252, 0.538, 0.523, 0.229, 0.436, 0.233, 17, 3.1, 1.1e+02, 17, 3.1, 1.1e+02, 17, 3, 1.1e+02, 1.1e+02
267, -0.22, -0.194, -0.252, 0.727, 0.523, 0.229, 0.229, 0.335, 14, 3.1, 1.1e+02, 14, 3.1, 1.1e+02, 14, 3.1, 1.1e+02, 1.1e+02
267, -0.138, -0.194, -0.254, 0.727, 0.523, 0.13, 0.414, 0.233, 19, 3.1, 1.1e+02, 20, 3.1, 1.1e+02, 19, 3.1, 1.1e+02, 1.1e+02
267, -0.22, -0.194, -0.252, 0.414, 0.493, 0.13, 0.201, 0.449, 12, 3.1, 1.1e+02, 12, 3.1, 1.1e+02, 12, 3.1, 1.1e+02, 1.1e+02
358, -0.138, -0.194, -0.0783, 0.78, 0.201, 0.229, 0.436, 0.335, 20, 1.2, 57, 20, 1.2, 57, 20, 1.1, 53, 56
267, -0.22, -0.194, -0.254, 0.414, 0.523, 0.229, 0.436, 0.335, 3.8, 0.67, 25, 13, 3.1, 1.1e+02, 12, 3.1, 1.1e+02, 79
267, -0.138, -0.194, -0.252, 0.727, 0.523, 0.13, 0.436, 0.335, 19, 3.1, 1.1e+02, 20, 3.1, 1.1e+02, 20, 2.7, 1e+02, 1.1e+02
267, -0.138, -0.247, -0.252, 0, 0.7, 0.229, 0.125, 0.233, 2.8, 0.12, 7.5, 2.8, 0.16, 8.6, 2, 0.28, 11, 9.2
267, -0.138, -0.194, -0.252, 0.727, 0.523, 0.13, 0.229, 0.233, 20, 2.5, 95, 20, 2.4, 94, 20, 2.2, 88, 92
267, -0.138, -0.194, -0.254, 0.414, 0.523, 0.13, 0.414, 0.335, 17, 3.1, 1.1e+02, 17, 3.1, 1.1e+02, 17, 3.1, 1.1e+02, 1.1e+02
267, -0.138, -0.194, -0.254, 0.414, 0.523, 0.229, 0.201, 0.335, 17, 3.1, 1.1e+02, 17, 3.1, 1.1e+02, 17, 3, 1.1e+02, 1.1e+02
267, -0.138, -0.194, -0.254, 0.727, 0.523, 0.13, 0.436, 0.335, 19, 3.1, 1.1e+02, 19, 3.1, 1.1e+02, 19, 3.1, 1.1e+02, 1.1e+02
267, -0.138, -0.194, -0.252, 0.414, 0.523, 0.13, 0.414, 0.449, 17, 3.1, 1.1e+02, 17, 3.1, 1.1e+02, 17, 3.1, 1.1e+02, 1.1e+02
358, -0.22, -0.194, -0.252, 0.414, 0.201, 0.229, 0.201, 0.449, 1.1, 0, 2.1, 1.1, 0, 2.2, 1.1, 0, 2.2, 2.1
267, -0.138, -0.194, -0.0783, 0.538, 0.493, 0.13, 0.436, 0.335, 20, 2.3, 90, 20, 2.1, 85, 20, 2.3, 90, 88
358, -0.138, -0.194, -0.254, 0.727, 0.523, 0.229, 0.125, 0.5, 20, 1.8, 75, 20, 2, 80, 20, 1.7, 73, 76
267, -0.22, -0.247, -0.0783, 0.414, 0.201, 0.13, 0.367, 0.335, 2.9, 0.39, 16, 2.8, 0.44, 17, 2.6, 0.33, 14, 15
267, -0.138, -0.194, -0.254, 0.538, 0.493, 0.229, 0.414, 0.13, 18, 3.1, 1.1e+02, 17, 3.1, 1.1e+02, 17, 3.1, 1.1e+02, 1.1e+02
267, -0.138, -0.194, -0.254, 0.414, 0.493, 0.229, 0.125, 0, 18, 3.1, 1.1e+02, 18, 3.1, 1.1e+02, 18, 3.1, 1.1e+02, 1.1e+02
267, -0.138, -0.194, -0.254, 0.538, 0.493, 0.229, 0.125, 0.13, 18, 3.1, 1.1e+02, 18, 3.1, 1.1e+02, 18, 3.1, 1.1e+02, 1.1e+02
267, -0.138, -0.194, -0.254, 0.538, 0.493, 0.229, 0.125, 0.13, 18, 3.1, 1.1e+02, 18, 3.1, 1.1e+02, 18, 3.1, 1.1e+02, 1.1e+02
267, -0.22, -0.194, -0.254, 0.727, 0.523, 0.13, 0.436, 0.335, 14, 3.1, 1.1e+02, 15, 3.1, 1.1e+02, 14, 3.1, 1.1e+02, 1.1e+02
267, -0.138, -0.194, -0.254, 0.414, 0.523, 0.13, 0.5, 0.335, 17, 3.1, 1.1e+02, 17, 3.1, 1.1e+02, 17, 3.1, 1.1e+02, 1.1e+02
267, -0.138, -0.194, -0.254, 0.414, 0.523, 0.229, 0.414, 0.335, 17, 3.1, 1.1e+02, 17, 3.1, 1.1e+02, 17, 3.1, 1.1e+02, 1.1e+02
267, -0.138, -0.247, -0.254, 0.727, 0.523, 0.229, 0.125, 0.335, 17, 3.1, 1.1e+02, 17, 3.1, 1.1e+02, 17, 3.1, 1.1e+02, 1.1e+02
267, -0.138, -0.247, -0.252, 0.727, 0.493, 0.229, 0.125, 0.233, 18, 3.1, 1.1e+02, 18, 3.1, 1.1e+02, 18, 3.1, 1.1e+02, 1.1e+02
267, -0.138, -0.194, -0.254, 0.538, 0.493, 0.229, 0.125, 0.13, 18, 3.1, 1.1e+02, 18, 3.1, 1.1e+02, 18, 3.1, 1.1e+02, 1.1e+02
267, -0.138, -0.194, -0.254, 0.538, 0.493, 0.229, 0.125, 0.13, 18, 3.1, 1.1e+02, 18, 3.1, 1.1e+02, 18, 3.1, 1.1e+02, 1.1e+02
267, -0.138, -0.194, -0.252, 0.414, 0.523, 0.229, 0.436, 0.335, 17, 3.1, 1.1e+02, 17, 3, 1.1e+02, 17, 3.1, 1.1e+02, 1.1e+02
267, -0.138, -0.194, -0.254, 0.538, 0.523, 0.229, 0.414, 0.233, 17, 3.1, 1.1e+02, 17, 3.1, 1.1e+02, 17, 3.1, 1.1e+02, 1.1e+02
267, -0.138, -0.247, -0.252, 0.727, 0.523, 0.229, 0.125, 0.335, 17, 3.1, 1.1e+02, 17, 3.1, 1.1e+02, 17, 3.1, 1.1e+02, 1.1e+02
267, -0.138, -0.247, -0.254, 0.727, 0.523, 0.229, 0.125, 0.233, 17, 3.1, 1.1e+02, 17, 3.1, 1.1e+02, 17, 3.1, 1.1e+02, 1.1e+02
267, -0.138, -0.194, -0.248, 0.538, 0.523, 0.229, 0.201, 0.5, 17, 3.1, 1.1e+02, 17, 3.1, 1.1e+02, 17, 3.1, 1.1e+02, 1.1e+02
267, -0.138, -0.194, -0.252, 0.727, 0.493, 0.229, 0.201, 0.449, 20, 2.8, 1e+02, 20, 3, 1.1e+02, 20, 2.5, 96, 1e+02
358, -0.138, -0.194, -0.254, 0.414, 0.493, 0.229, 0.367, 0.13, 20, 2.2, 86, 20, 2.1, 83, 20, 2.1, 85, 85
267, -0.22, -0.194, -0.252, 0.538, 0.493, 0.229, 0.201, 0.449, 14, 3.1, 1.1e+02, 14, 3.1, 1.1e+02, 14, 3.1, 1.1e+02, 1.1e+02
