T, A, B, Oc, C, Oj, tj, Dp, Dn, t1, d1, s1, t2, d2, s2, t3, d3, s3, savg
1.82e+03, -0.392, -0.336, -0.0586, 0.538, 0.332, 0.359, 0.125, 0.233, 5.7, 0, 6.7, 5.3, 0.12, 9.8, 5.2, 0, 6.2, 7.6
648, -0.232, -0.239, -0.268, 0.351, 0.568, 0.479, 0.294, 0.161, 3.9, 0.24, 12, 4.2, 0, 5.2, 4, 0.065, 6.9, 8.1
1.15e+03, -0.138, -0.0351, -0.166, 0.238, 0.269, 0.403, 0.436, 0.187, 20, 0, 21, 20, 0, 21, 20, 0, 21, 21
793, -0.276, -0.247, -0.214, 0.29, 0.191, 0.454, 0.343, 0.133, 2.9, 0.16, 8.8, 3, 0, 4.1, 2.8, 0.2, 9.6, 7.5
1.28e+03, -0.577, -0.19, -0.372, 0.252, 0.618, 0.376, 0.148, 0.157, 4, 0, 4.9, 3.2, 0, 4.2, 4, 0, 4.9, 4.7
1.76e+03, -0.608, -0.0843, -0.385, 0.622, 0.433, 0.0843, 0.47, 0.377, 5.6, 0, 6.6, 5.5, 0, 6.4, 5, 0, 5.9, 6.3
793, -0.138, -0.247, -0.254, 0.0599, 0.671, 0.45, 0.229, 0.123, 8, 0.37, 20, 5.3, 0.37, 17, 5.3, 0, 6.3, 15
1.82e+03, -0.716, -0.0531, -0.0586, 0.727, 0.332, 0.229, 0.07, 0.315, 5.2, 0.12, 9.7, 6.1, 0, 7.1, 5, 0, 6, 7.6
358, -0.392, -0.336, -0.0783, 0.538, 0.204, 0.359, 0.125, 0.233, 2.6, 0.41, 16, 2.7, 0.52, 19, 2.7, 0.32, 13, 16
1.29e+03, -0.0832, -0.235, -0.212, 0.0599, 0.671, 0.376, 0.5, 0.123, 20, 0, 21, 8.7, 0.25, 17, 8.6, 0, 9.6, 16
1.29e+03, -0.0832, -0.194, -0.254, 0.439, 0.493, 0.376, 0.414, 0.315, 5.2, 0, 6.2, 5, 0, 5.9, 5.6, 0, 6.6, 6.2
1.82e+03, -0.392, -0.336, -0.0586, 0.279, 0.332, 0.359, 0.125, 0.233, 7.3, 0, 8.3, 7.7, 0, 8.7, 8, 0.33, 19, 12
267, -0.0707, -0.295, -0.0682, 0.538, 0.7, 0.13, 0.201, 0.0719, 0.95, 0.45, 16, 0.95, 0.45, 16, 0.95, 0.45, 15, 16
358, -0.596, -0.39, -0.0783, 0.727, 0.204, 0.229, 0.0217, 0.315, 2.2, 0.48, 18, 2.6, 0.38, 15, 2.4, 0.43, 16, 16
1.32e+03, -0.716, -0.0531, -0.0819, 0.0452, 0.201, 0.288, 0.07, 0.186, 3.8, 0, 4.8, 4.7, 0, 5.7, 3.9, 0, 4.9, 5.1
1.82e+03, -0.716, -0.0531, -0.268, 0.351, 0.568, 0.359, 0.07, 0.315, 6.6, 0, 7.6, 6.7, 0, 7.7, 6, 0, 6.9, 7.4
358, -0.392, -0.26, -0.0783, 0.727, 0.204, 0.229, 0.125, 0.449, 20, 0, 21, 20, 1.4, 63, 20, 1, 51, 45
1.35e+03, -0.516, -0.235, -0.248, 0.0599, 0.671, 0.203, 0.229, 0.378, 8.2, 0, 9.2, 7.3, 0, 8.3, 12, 0.52, 28, 15
1.62e+03, -0.245, -0.291, -0.254, 0.582, 0.29, 0.463, 0.0115, 0.123, 5.2, 0, 6.2, 5.1, 0, 6.1, 7.5, 0, 8.5, 6.9
1.82e+03, -0.392, -0.239, -0.254, 0.0599, 0.568, 0.45, 0.125, 0.233, 20, 0.024, 22, 20, 0.31, 30, 20, 0, 21, 24
