T, A, B, Oc, C, Oj, tj, Dp, Dn, E, t1, dx1, dy1, s1, t2, dx2, dy2, s2, t3, dx3, dy3, s3, savg
210, -0.302, -0.206, -0.343, 0.521, 1.37, 0.0145, 0.618, 0.391, 0.261, 0.55, 0.32, -0.0086, 11, 0.55, 0.32, -0.0086, 11, 0.55, 0.31, -0.0075, 11, 11
392, -0.348, -0.115, -0.103, 2.55, 0.802, 0.0273, 0.794, 0.416, 0.168, 0.77, 0.36, -0.029, 13, 0.82, 0.38, -0.041, 13, 0.85, 0.38, -0.04, 13, 13
371, -0.695, -0.0819, -0.404, 1.03, 1.97, 0.342, 0.127, 0.161, -0.109, 0.55, 0.29, -0.034, 10, 0.5, 0.29, -0.022, 10, 0.5, 0.29, -0.024, 10, 10
381, -0.668, -0.0856, -0.339, 0.781, 1.97, 0.224, 0.0233, 0.128, -0.0837, 0.52, 0.3, -0.022, 11, 0.52, 0.3, -0.023, 11, 0.52, 0.3, -0.022, 11, 11
205, -0.771, -0.0391, -0.191, 1.13, 0.721, 0.273, 0.505, 0.0278, 0.598, 1.5, 0.21, 0.13, 9.1, 15, -0.53, 0.42, 23, 15, -0.47, 0.34, 22, 18
347, -0.501, -0.175, -0.543, 1.06, 0.999, 0.298, 0.596, 0.307, 0.145, 1.2, 0.46, 0.05, 16, 1, 0.41, 0.05, 14, 0.88, 0.38, 0.012, 13, 14
244, -0.655, -0.328, -0.441, 0.617, 0.976, 0.0658, 0.374, 0.774, 0.0679, 0.77, 0.32, 0.035, 11, 0.77, 0.32, 0.025, 11, 0.77, 0.33, 0.022, 12, 11
246, -0.781, -0.391, -0.433, 0.711, 0.503, 0.0953, 0.403, 0.505, 0.0277, 0.8, -0.28, 0.046, 4.6, 1.8, -0.32, 0.032, 6, 15, 0.068, 0.062, 18, 9.6
405, -0.454, 0.0395, -0.271, 2.68, -0.686, 0.319, 0.737, 0.727, 0.121, 2.8, -0.32, -0.034, 6.9, 4.2, -0.31, -0.037, 8.3, 7, 0.3, -0.0045, 17, 11
443, -0.462, -0.452, -0.314, 3.46, -0.591, 0.322, 0.744, 0.619, 0.195, 7.3, -0.34, 0.1, 12, 2.9, -0.34, -0.024, 7.3, 3, -0.33, 0.015, 7.3, 8.8
518, -0.987, -0.00851, -0.168, 1.32, 0.578, 0.243, 0.289, 0.228, 0.495, 3.7, 0.22, 0.036, 11, 3.2, 0.27, -0.0073, 12, 3.8, 0.29, -0.011, 14, 12
395, -0.716, -0.00925, -0.17, 1.39, 1.13, 0.381, 0.538, 0.445, 0.381, 2.5, 0.29, 0.035, 12, 3.5, -0.34, -0.011, 7.9, 3.5, 0.23, -0.12, 12, 11
400, -0.346, -0.0849, -0.281, 1.89, 1.07, 0.315, 0.582, 0.243, 0.364, 3.5, -0.35, 0.0042, 8, 4.3, 0.26, 0.04, 13, 4.4, 0.26, 0.08, 13, 11
378, -0.209, -0.0933, -0.292, 1.46, 1.79, 0.255, 0.591, 0.34, 0.363, 6.3, -0.35, 0.22, 11, 0.55, 0.31, -0.012, 11, 0.52, 0.3, -0.013, 11, 11
394, -0.635, -0.0995, -0.466, 0.978, 1.46, 0.318, 0.374, 1.1, 0.217, 0.57, 0.35, 0.016, 12, 0.57, 0.36, 0.019, 12, 0.57, 0.35, 0.014, 12, 12
400, -0.648, -0.338, -0.318, 0.335, 1.45, 0.376, 0.649, 0.851, 0.0243, 0.55, 0.32, 0.0067, 11, 0.55, 0.32, 0.011, 11, 0.55, 0.32, 0.0069, 11, 11
272, -0.471, -0.219, -0.536, 1.66, 1.06, 0.234, 0.496, 0.189, 0.151, 15, 0.53, -2, 47, 15, 1.1, -2.1, 63, 15, 0.91, -2.2, 58, 56
276, -0.644, -0.181, -0.355, 1.77, 0.807, 0.189, 0.558, 0.313, 0.149, 15, 0.54, 0.43, 34, 15, 0.54, 0.59, 35, 15, 0.054, -0.12, 18, 29
392, -0.348, -0.115, -0.103, 2.55, 0.802, 0.0273, 0.794, 0.416, 0.168, 0.82, 0.38, -0.046, 13, 0.82, 0.37, -0.046, 13, 0.82, 0.36, -0.041, 13, 13
392, -0.348, -0.115, -0.103, 2.55, 0.802, 0.0273, 0.794, 0.416, 0.168, 0.82, 0.36, -0.043, 13, 0.82, 0.36, -0.047, 13, 0.82, 0.36, -0.035, 13, 13
663, -0.398, -0.198, -0.096, -0.632, 0.304, 0.189, 0.78, 0.662, 0.213, 8.3, -0.67, -0.39, 17, 5.3, -0.77, -0.21, 14, 4.8, -0.063, 0.47, 11, 14
480, -0.537, -0.339, -0.0966, 0.987, 0.995, 0.228, 1.05, 0.957, 0.191, 0.73, 0.38, 0.012, 13, 0.73, 0.38, 0.01, 13, 0.73, 0.38, 0.01, 13, 13
207, -0.477, -0.187, -0.295, 0.83, 1.33, 0.362, 0.514, 0.712, 0.222, 0.6, 0.34, -0.039, 12, 0.57, 0.32, -0.025, 11, 0.6, 0.33, -0.031, 12, 12
232, -0.3, -0.018, -0.369, 0.881, 0.617, 0.38, 0.568, 0.664, 0.5, 1.4, -0.34, 0.037, 5.8, 1.4, -0.36, 0.0065, 6, 1.4, -0.37, 0.015, 6.1, 6
291, -0.773, -0.476, -0.175, 0.598, 0.786, 0.484, 0.27, 1.15, 0.22, 0.88, 0.27, -0.048, 10, 1.5, 0.0055, -0.018, 2.8, 0.93, 0.29, -0.039, 11, 7.8
332, -0.431, -0.193, -0.194, 0.536, 1.09, 0.446, 0.56, 0.0621, 0.305, 0.68, 0.38, 0.014, 13, 0.73, 0.4, -0.011, 14, 0.68, 0.39, 0.0097, 13, 13
240, -0.503, -0.301, -0.426, 0.658, 1.05, 0.0634, 0.409, 0.833, -0.0558, 0.8, 0.33, 0.0025, 12, 0.7, 0.32, 0.047, 11, 0.73, 0.35, -0.013, 12, 12
243, -0.496, -0.2, -0.439, 0.604, 1.19, 0.067, 0.577, 0.995, 0.413, 0.62, 0.33, -0.025, 11, 0.62, 0.33, -0.037, 12, 0.62, 0.33, -0.019, 12, 12
571, -0.718, -0.0976, -0.372, 2.39, 0.75, -0.162, 0.357, 0.494, 0.237, 5.2, -1.9, 0.96, 27, 4.5, -1.7, 0.53, 24, 4.4, -1.5, 0.84, 22, 24
405, -0.53, -0.0672, -0.264, 2.04, 0.81, 0.116, 0.39, 0.571, 0.25, 1, 0.44, -0.031, 15, 1.2, 0.45, -0.046, 16, 1, 0.44, -0.06, 15, 15
358, -0.652, -0.313, -0.551, 0.351, 1.01, 0.0536, 0.392, 0.285, 0.105, 1.4, 0.25, 0.013, 10, 0.98, 0.34, -0.057, 12, 0.95, 0.37, -0.02, 13, 12
327, -0.677, -0.256, 0.0532, 0.555, 1, 0.177, 0.43, 0.697, 0.0298, 0.9, 0.31, -0.051, 11, 0.93, 0.3, -0.063, 11, 0.93, 0.31, -0.069, 11, 11
615, -0.868, -0.281, -0.096, 2.99, 0.834, 0.24, 0.438, 0.204, 0.061, 0.77, 0.37, -0.086, 13, 0.77, 0.37, -0.083, 13, 0.77, 0.38, -0.072, 13, 13
662, -0.789, -0.29, -0.427, 3.18, 0.724, 0.28, 0.0914, 0.237, 0.381, 3.2, 0.78, 0.26, 28, 2.1, -0.24, 0.059, 5.5, 1.9, -0.19, 0.19, 5.5, 13
269, -0.314, -0.0556, -0.372, 1.03, 2.2, -0.0455, 0.427, 0.57, 0.263, 0.55, 0.31, -0.01, 11, 0.52, 0.3, -0.01, 11, 0.52, 0.3, -0.011, 10, 11
286, -0.6, -0.0482, -0.609, -0.162, 1.06, 0.0492, 0.391, 0.53, 0.222, 0.93, 0.34, -0.034, 12, 0.98, 0.31, -0.0071, 11, 1, 0.3, 0.0051, 11, 11
207, -0.311, -0.22, -0.386, 0.474, 1.39, -0.00569, 0.58, 0.385, 0.172, 0.55, 0.32, -0.013, 11, 0.55, 0.32, -0.013, 11, 0.55, 0.32, -0.009, 11, 11
222, -0.649, -0.226, -0.345, 0.507, 1.35, 0.0524, 0.577, 0.297, 0.457, 0.57, 0.33, -0.023, 12, 0.57, 0.33, -0.028, 11, 0.57, 0.33, -0.026, 12, 12
434, -0.195, -0.292, -0.264, -0.29, 1.41, 0.223, 0.564, 0.379, 0.35, 0.57, 0.33, -0.016, 11, 0.57, 0.32, -0.017, 11, 0.57, 0.33, -0.014, 11, 11
275, -0.314, -0.328, -0.325, 1.69, 1.42, 0.0947, 0.273, 1, 0.336, 0.57, 0.31, -0.028, 11, 0.55, 0.31, -0.015, 11, 0.57, 0.33, -0.022, 11, 11
486, -0.355, -0.0567, -0.098, 2.78, 1.19, 0.433, 0.946, 0.386, 0.176, 0.65, 0.33, 0.067, 12, 0.65, 0.32, 0.059, 11, 0.65, 0.33, 0.068, 12, 12
486, -0.355, -0.0567, -0.098, 2.78, 1.19, 0.433, 0.946, 0.386, 0.176, 0.65, 0.33, 0.06, 12, 0.65, 0.32, 0.064, 11, 0.65, 0.33, 0.065, 11, 11
572, -0.567, -0.365, -0.181, 0.567, 1, 0.442, 0.0992, 0.513, 0.116, 0.68, 0.37, 0.046, 13, 0.65, 0.35, 0.04, 12, 0.68, 0.37, 0.047, 13, 13
319, -0.642, -0.223, -0.125, 0.553, 1.01, 0.42, 0.0623, 0.373, 0.157, 0.7, 0.37, 0.034, 13, 0.7, 0.37, 0.043, 13, 0.7, 0.37, 0.045, 13, 13
